gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
A1BG,72,0.31501354301808304,0.6460880412493156,0,0,tested,0.16319029661347614,0.4668367894226899,4.137173850231935,9.524610585529435e-05,0.00013627858173006585,1.0,3799.0,37,0.5289349570595512,0.5368155437255139,0,0,tested,0.3499517436857098,0.7079181704333926,5.993466052487964,7.090595205181451e-07,1.5026636117479664e-06,1.0,2591.0
A1CF,72,-0.45314450749943297,0.7295996211057765,0,0,tested,-0.6245920130710546,-0.28169700192781133,-5.270094087351501,1.399804339666472e-06,2.240465848901782e-06,1.0,2829.0,37,-0.5179608174799105,0.7263554551781733,0,0,tested,-0.7601397836796736,-0.2757818512801474,-4.337590679974437,0.0001113132731346824,0.0001856828465016866,1.0,2644.0
A2M,72,0.6110817861752885,0.7240914413194546,0,0,tested,0.44092863939619703,0.78123493295438,7.1609752615236415,5.945740705818848e-10,1.1597722364898281e-09,1.0,2100.0,37,0.6810354802297833,0.5727301758652641,0,0,tested,0.4900777323204838,0.8719932281390829,7.233034464592153,1.6277466653145607e-08,4.1226392992166776e-08,1.0,1957.0
AAAS,72,0.17711877448499447,0.1579357399463184,0,0,tested,0.14000569510405148,0.21423185386593746,9.515912222757905,2.6330958825470745e-14,6.683565785702533e-14,1.0,5167.0,37,0.16967706452739184,0.17950558409967435,0,0,tested,0.1098269230099993,0.22952720604478438,5.749711328117311,1.5014102529278285e-06,3.0537989726929953e-06,1.0,5442.0
AACS,72,-0.25171712288289877,0.45283127533588297,0,0,tested,-0.3581272557219037,-0.14530699004389386,-4.716747121300107,1.1646005481268446e-05,1.760452855595647e-05,1.0,4359.0,37,-0.21568560633707828,0.47531446531590177,0,0,tested,-0.37416333925609613,-0.05720787341806041,-2.7602028136885735,0.009029135483886149,0.012206388943194129,1.0,4896.0
AAGAB,72,-0.08583477700131653,0.20399522990200258,0,0,tested,-0.13377130589123115,-0.037898248111401904,-3.570339536375808,0.0006445516330173174,0.0008763029797976831,1.0,6572.0,37,-0.12455705437231601,0.19858990373847032,0,0,tested,-0.1907702248554864,-0.058343883889145645,-3.81515358513904,0.0005151412521901491,0.0008005279220718169,1.0,6066.0
AAK1,72,-0.3202745753539141,0.2124772345409937,0,0,tested,-0.370204277616641,-0.27034487309118727,-12.79016970812663,4.2101694181049715e-20,1.566221916555078e-19,1.0,3745.0,37,-0.3225279928048865,0.23027993253154475,0,0,tested,-0.3993071449396504,-0.24574884067012254,-8.51946223901691,3.7376042598867066e-10,1.153664337774954e-09,1.0,3871.0
AAMP,72,0.3355689535795656,0.3390536197980263,0,0,tested,0.25589525901089344,0.4152426481482378,8.398072827765724,3.0551292861557363e-12,6.865516537583231e-12,1.0,3624.0,37,0.24052069431372428,0.37027194396093793,0,0,tested,0.11706588171203439,0.36397550691541414,3.95123176625874,0.00034751428653541567,0.0005507246786619453,1.0,4609.0
AAR2,72,0.26928595320972115,0.15131390708721018,0,0,tested,0.2337289282635182,0.3048429781559241,15.10083988378926,7.300104570627907e-24,3.9354111252903053e-23,1.0,4195.0,37,0.24143908079286297,0.14747827709235578,0,0,tested,0.19226737508248481,0.2906107865032411,9.958189253029957,6.9474272927243395e-12,2.6728755716585033e-11,1.0,4601.0
AARS,72,0.1730509951794657,0.2753433574421036,0,0,tested,0.10834847828723167,0.23775351207169976,5.33292831114884,1.0940708199400075e-06,1.7640933701294936e-06,1.0,5215.0,37,0.10024491837375073,0.2454125833226955,0,0,tested,0.018420289264405587,0.18206954748309587,2.484656756719222,0.01775348801587933,0.023209255994894304,1.0,6461.0
AARS2,72,-0.0705864687636013,0.2921338306777989,0,0,tested,-0.13923455343075294,-0.001938384096449669,-2.0502454210229764,0.04403400759607652,0.05178882844316593,1.0,6837.0,37,-0.16591397243107792,0.2827117477146036,0,0,tested,-0.26017476211187707,-0.07165318275027877,-3.5697678038320904,0.001035450476786487,0.0015607992555027625,1.0,5488.0
