gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
A1BG,72,0.4976946603373784,0.5926589180371878,0,0,tested,0.35842664235478583,0.636962678319971,7.12564867057946,6.904722867589754e-10,1.5712458751462324e-09,1.0,5920.0,37,0.5884891841338301,0.6655110687874083,0,0,tested,0.3665967463687711,0.8103816218988891,5.378783504318417,4.702476631685643e-06,1.0179371193446318e-05,1.0,5100.0
A1CF,72,-0.6839952362924806,1.4685745990357435,0,0,tested,-1.0290933482801503,-0.3388971243048109,-3.9520580312306177,0.00018087865996938433,0.0002814572601733096,1.0,4281.0,37,-0.7917168872803535,1.408810536704712,0,0,tested,-1.2614377063616788,-0.32199606819902815,-3.418363002748236,0.0015795714041169087,0.0025373752109444864,1.0,3670.0
A2M,72,0.549141031765368,0.7490874442745544,0,0,tested,0.37311411225950664,0.7251679512712293,6.220390161767272,3.048027636932846e-08,6.18683235656256e-08,1.0,5384.0,37,0.8325997946540806,0.5873752562363023,0,0,tested,0.636759133841896,1.0284404554662652,8.6222679281852,2.7870904222148347e-10,1.005297775289733e-09,1.0,3433.0
A2ML1,72,-0.0350507387688014,0.08439072574469243,0,0,tested,-0.054881587091307193,-0.015219890446295615,-3.5242661821393044,0.0007476337888630066,0.0011081344216408195,1.0,16221.0,37,-0.02016047507967333,0.09798160092863538,0,0,tested,-0.052829167316140346,0.012508217156793688,-1.251575614660207,0.21879629298217437,0.2577239931347508,1.0,16914.0
A3GALT2,72,0.013108847637495216,0.20358771507340784,0,0,tested,-0.03473191996249422,0.060949615237484656,0.5463603766860997,0.5865311155011642,0.6181968383822758,1.0,17399.0,37,0.017045845212140087,0.2321509475306928,0,0,tested,-0.06035713438204149,0.09444882480632166,0.44663108058157147,0.6578167547649588,0.6945742947627105,1.0,17109.0
A4GALT,72,0.07783149450954584,0.6458529160266032,0,0,tested,-0.07393650017649532,0.22959948919558698,1.0225580999990367,0.3099883812604083,0.34559269873749204,1.0,14603.0,37,0.1851069135352,0.47293443755970727,0,0,tested,0.027422721378370707,0.3427911056920293,2.380798073324732,0.02268861031686136,0.03141231621603225,1.0,11468.0
A4GNT,72,-0.1928015911559301,0.5217657710861895,0,0,tested,-0.3154105363330162,-0.07019264597884402,-3.1354600876812397,0.0024960125265337026,0.0035458855578661456,1.0,11222.0,37,-0.08807407615576443,0.5248443212034304,0,0,tested,-0.2630658852193919,0.08691773290786306,-1.0207478078499865,0.3141848414440922,0.3590602547226756,1.0,14226.0
AAAS,72,0.048717588979272176,0.2488531314983642,0,0,tested,-0.009760029998130942,0.1071952079566753,1.6611502852088713,0.10109322334476306,0.12110424254398472,1.0,15662.0,37,0.0040116649342858,0.2607103407842067,0,0,tested,-0.08291349045429643,0.09093682032286803,0.09359814832424612,0.9259473708726627,0.9369941429518732,1.0,18144.0
AACS,72,-0.5710970580525676,0.4413149710831625,0,0,tested,-0.6748009920663314,-0.4673931240388038,-10.98063638693716,5.86919723917633e-17,2.1767658572837514e-16,1.0,5189.0,37,-0.5767396989804372,0.38899914268166524,0,0,tested,-0.7064384705056417,-0.4470409274552327,-9.018453373725208,9.106229137203149e-11,3.5368444379917365e-10,1.0,5217.0
AADAC,72,0.11479421282481482,0.7406420802385624,0,0,tested,-0.059248143427819214,0.28883656907744887,1.3151577826080747,0.19268860907549,0.22193759622131495,1.0,13394.0,37,0.05962617237410311,0.3717094165963096,0,0,tested,-0.06430791746615225,0.18356026221435848,0.9757402716977551,0.33570462707544696,0.37821508256192027,1.0,15203.0
