n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank,gene,cohort,layer,selection,loo_mean_min,loo_mean_max,skewness
72,2.344681824998151,0.6899426539953044,0,0,tested,2.182553249827455,2.506810400168847,28.836142979366965,6.208222317013929e-41,1.3459675995797117e-38,1.0,26.0,CA9,all_stage,protein,prespecified,2.318741912187579,2.361981693600058,0.2192824163585245
72,2.784738522058789,0.8186850955741054,0,0,tested,2.59235695630069,2.977120087816888,28.862489424923478,5.847774959390479e-41,1.3459675995797117e-38,1.0,10.0,NNMT,all_stage,protein,prespecified,2.758931536282589,2.8106615344129064,0.01668011847876254
1,1.0684955485392982,,71,71,below_cohort_completeness,,,,,,0.013888888888888888,,VEGFA,all_stage,protein,prespecified,,,
72,-0.1746701641163541,0.15860765946748293,0,0,tested,-0.21194113684388893,-0.1373991913888193,-9.3446022417067,5.435932203266045e-14,1.3567089546050427e-13,1.0,5193.0,MTOR,all_stage,protein,prespecified,-0.1798560710900056,-0.169998430556976,0.4058623354529063
72,3.908581756896538,0.9305269493372691,0,0,tested,3.68991864398366,4.127244869809417,35.641542681921905,4.770189623027835e-47,3.841910722386619e-43,1.0,1.0,NDUFA4L2,all_stage,protein,selected in initial analysis,3.878610660935432,3.9376928723864584,-0.10191801251022825
72,-3.1789657827277074,1.391504364511693,0,0,tested,-3.505953277493644,-2.8519782879617708,-19.385076923554614,4.49311033689923e-30,5.499621679845957e-29,1.0,2.0,MT1H,all_stage,protein,selected in initial analysis,-3.222023364663507,-3.1341085956995114,-0.0012749545725933994
72,6.45201147094601,1.0825776096094284,0,0,tested,6.197618204576267,6.7064047373157525,50.57109280187626,1.9997690142974036e-57,1.226632509898875e-54,1.0,8.0,CA9,all_stage,rna,prespecified,6.431272076501024,6.5440641798886015,-3.3666253327805387
72,4.738401637036335,1.3482441181560616,0,0,tested,4.4215798017821815,5.055223472290489,29.821506812427252,6.836830702155167e-42,5.676957895261157e-40,1.0,44.0,NNMT,all_stage,rna,prespecified,4.703157909776848,4.793414169035401,-0.9470092251743573
72,3.014343994335085,0.977442528567762,0,0,tested,2.784656260796274,3.2440317278738964,26.167837190548646,3.4097329738881123e-38,1.5327676713589234e-36,1.0,195.0,VEGFA,all_stage,rna,prespecified,2.9937881560392468,3.090531803923781,-2.5513647374397848
72,-0.7781365045651277,0.2788110625766145,0,0,tested,-0.8436538922141047,-0.7126191169161508,-23.681654263582985,1.988406173130029e-35,5.907741153448047e-34,1.0,3610.0,MTOR,all_stage,rna,prespecified,-0.7881351467537047,-0.7692405148918858,0.573588742837678
