gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean,min_abs_rank
SLC4A1,72,1.6505980537271705,1.0020118720801623,0,0,tested,1.4151368075152726,1.8860592999390684,13.977667642370118,4.5143964611852845e-22,2.4416679080901317e-21,72,-4.152640979196211,0.6629395633803683,0,0,tested,-4.3084241391628275,-3.9968578192295943,-53.151643228232295,6.38744920871523e-59,4.858293868148804e-56,False,72.0,1.6505980537271714,-4.152640979196212,0.9871205151793928
GM2A,72,-1.9800594548618196,0.724465536065846,0,0,tested,-2.150300509596536,-1.809818400127103,-23.191388376405687,7.425417143343078e-35,3.2390960956157e-33,72,1.7107570621204955,0.5962834480722005,0,0,tested,1.570637321336251,1.85087680290474,24.344554728107173,3.461821623548924e-36,1.158917925559556e-34,False,72.0,-1.980059454861819,1.7107570621204955,0.984360625574977
RNASE6,72,-1.684330497573706,0.8114872760592065,0,0,tested,-1.8750206586686369,-1.4936403364787756,-17.612128521016267,1.2807195389920548e-27,1.2953083805148472e-26,72,1.6680831591949483,0.6809085414548313,0,0,tested,1.5080774963933268,1.8280888219965703,20.78716024204384,6.57055975029911e-32,1.1753451895760828e-30,False,72.0,-1.684330497573706,1.6680831591949488,0.983440662373505
LYZ,72,-1.536266760477667,0.8840630875874289,0,0,tested,-1.744011401168532,-1.328522119786802,-14.745164583352,2.6484982337928904e-23,1.661812556575614e-22,72,3.033801514648871,1.3310700496963708,0,0,tested,2.721015387628046,3.346587641669696,19.339823243156108,5.1676783841903605e-30,7.018814605384265e-29,False,72.0,-1.5362667604776672,3.0338015146488706,0.9825206991720331
PCLO,40,1.6940772963904014,0.9626225924307352,32,31,tested,1.3862156557670695,2.0019389370137333,11.13030762231831,1.1322003676625985e-13,3.2992640978097164e-13,72,-1.118726109396366,0.6901737492385702,0,0,tested,-1.2809089892868857,-0.9565432295058462,-13.754081243176998,1.0460096048650777e-21,5.74022298311961e-21,False,40.0,1.6940772963904014,-1.046118358740311,0.9604415823367065
REG1A,72,-1.1368248080527334,0.8869350907978704,0,0,tested,-1.3452443364109985,-0.9284052796944686,-10.875968793685434,9.02151370670745e-17,3.2598245047935776e-16,72,1.735798602123086,3.3449652470321865,0,0,tested,0.9497703049067856,2.5218268993393864,4.403256374963061,3.690437764511961e-05,6.069861957632985e-05,False,72.0,-1.1368248080527334,1.7357986021230856,0.9595216191352346
COL4A1,72,-1.115568972053208,0.5761338408186909,0,0,tested,-1.2509537872674168,-0.9801841568389992,-16.430065289673678,6.811141615660136e-26,5.578463986115767e-25,72,1.862575387102349,1.049921735258021,0,0,tested,1.615855874991584,2.109294899213114,15.053004152172129,8.673477725443355e-24,5.875531847143049e-23,False,72.0,-1.1155689720532085,1.8625753871023496,0.9586016559337627
KHK,72,1.0722793528029528,0.6937969697779489,0,0,tested,0.9092450578271692,1.2353136477787363,13.11419971066104,1.1999960229874192e-20,5.730395096921837e-20,72,-0.937426170171391,1.682929619280677,0,0,tested,-1.3328952424290912,-0.5419570979136908,-4.726475029228472,1.1230014013300034e-05,1.9134293589865604e-05,False,72.0,1.0722793528029524,-0.937426170171391,0.9484820607175714
UBD,22,-1.5115312053581098,0.9652384192686628,50,50,tested,-1.9394939453284656,-1.0835684653877542,-7.345034807512407,3.149158848105875e-07,5.87058913471688e-07,72,0.9173615609832207,1.1111762425056095,0,0,tested,0.656247945354829,1.1784751766116126,7.005253234447233,1.148525794742152e-09,2.5753794796016542e-09,False,22.0,-1.5115312053581094,0.799504327791407,0.9448022079116836
MYOC,63,-0.952042572399757,1.0008664627184185,9,8,tested,-1.204107526874891,-0.6999776179246229,-7.550061805271866,2.390675499263258e-10,5.557378888810998e-10,72,2.6473402455963915,1.173210647663154,0,0,tested,2.3716492594263854,2.9230312317663976,19.146968127143015,9.403301344511928e-30,1.2314309577540932e-28,False,63.0,-0.952042572399757,2.591434500243988,0.9402023919043239
TMEM246,24,0.8941481668477951,0.5456293042742891,48,48,tested,0.6637491182132464,1.1245472154823437,8.028185971921454,4.0378136618945725e-08,8.050752080641544e-08,72,-1.3400930760389842,0.9615057080344324,0,0,tested,-1.566035840353386,-1.1141503117245823,-11.826312337869611,1.899835183063264e-18,7.925705573924518e-18,False,24.0,0.894148166847795,-1.1967858264463451,0.9337626494940202
SPINK5,44,-1.466479749517276,1.040655335019816,28,28,tested,-1.78286788940005,-1.1500916096345022,-9.347500422338314,6.423788457149707e-12,1.665371307250207e-11,72,0.8099917371689838,1.3052497895668176,0,0,tested,0.50327307381503,1.1167104005229376,5.265664745265436,1.4242742519380894e-06,2.5770839186033655e-06,False,44.0,-1.466479749517276,0.8070865275647314,0.9337626494940202
CFTR,55,0.8899142580045486,1.3066441678914569,17,17,tested,0.5366788593302052,1.243149656678892,5.050939602407836,5.3504528453520995e-06,9.080022563839245e-06,72,-0.9696964570066636,0.8066684742315595,0,0,tested,-1.1592542551873402,-0.7801386588259871,-10.200159728743571,1.4852028719652876e-15,4.962420068603048e-15,False,55.0,0.8899142580045488,-1.0489729186441312,0.9328426862925483
COL4A2,72,-0.8898337456160628,0.5269664171392936,0,0,tested,-1.0136647827013303,-0.7660027085307952,-14.32821800833864,1.2246581382251525e-22,7.073687450093812e-22,72,1.2408008786959337,0.8304086795569082,0,0,tested,1.0456644057640003,1.4359373516278668,12.67875064932523,6.502020631881929e-20,3.071699933297761e-19,False,72.0,-0.8898337456160625,1.240800878695934,0.9319227230910764
PTGDR,32,-1.7107586343347847,0.8400330974044814,40,40,tested,-2.013622862757888,-1.4078944059116814,-11.520393994467486,9.837082696789053e-13,2.69144943269388e-12,72,0.789083123894295,0.4835783824355331,0,0,tested,0.6754477751104284,0.9027184726781616,13.845929795670408,7.400927534940858e-22,4.110065335189849e-21,False,32.0,-1.7107586343347845,0.8143750885386916,0.9310027598896045
CFD,72,-0.8800219127753633,0.8386022185924972,0,0,tested,-1.0770837729865912,-0.6829600525641354,-8.904380861199641,3.526316425862648e-13,9.929703255874248e-13,72,1.5706522447955966,1.139500811868179,0,0,tested,1.3028826816815922,1.838421807909601,11.695846198055918,3.20860599966953e-18,1.31320798716565e-17,False,72.0,-0.8800219127753631,1.5706522447955966,0.9291628334866605
SPTB,72,1.4181389661448434,1.0012933689104364,0,0,tested,1.18284655990028,1.6534313723894067,12.017764752207338,8.836283475755941e-19,3.669471527825303e-18,72,-0.7816210700516883,0.2141549426295892,0,0,tested,-0.8319450143871169,-0.7312971257162598,-30.9695149968752,5.651198859832124e-43,5.655660332616201e-41,False,72.0,1.418138966144843,-0.7816210700516882,0.9282428702851886
ANO5,27,0.8625655181574327,0.8135267612278185,45,45,tested,0.5407450497046379,1.1843859866102275,5.509372426977615,8.80834151064095e-06,1.471920226120264e-05,72,-2.0094371440470944,0.5886843551452197,0,0,tested,-2.1477711855392214,-1.8711031025549676,-28.96397606299528,4.646389415746467e-41,3.41123917916676e-39,False,27.0,0.8625655181574325,-2.1399049017868808,0.9264029438822448
PTPN4,36,1.1659364617389945,1.156485476926222,36,36,tested,0.7746380724699441,1.5572348510080447,6.049032962374374,6.654614385670151e-07,1.208867393290397e-06,72,-0.7752630573890866,0.3906730974012441,0,0,tested,-0.8670667345097903,-0.6834593802683829,-16.838439157336037,1.6931248018881064e-26,1.5382115675060845e-25,False,36.0,1.1659364617389945,-0.7652798895106625,0.9236430542778289
