gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
A1BG,80,0.2983593355898347,0.6221938906977159,0,0,tested,0.15989686787810714,0.43682180330156223,4.289028009274806,5.034850116432362e-05,7.724296694279812e-05
A1CF,80,-0.4943833434575059,0.7279075327450699,0,0,tested,-0.6563712298008064,-0.33239545711420543,-6.074808753500134,4.110871696953554e-08,7.843900263393407e-08
A2M,80,0.6084081429237623,0.701920234905323,0,0,tested,0.45220344642184074,0.7646128394256839,7.752686974897885,2.639473422125336e-11,6.146710667517376e-11
A4GALT,4,0.544466361837924,0.41785870307261447,76,76,insufficient_pairs,,,,,
AAAS,80,0.18274323683824273,0.153876510860285,0,0,tested,0.14849969678565036,0.2169867768908351,10.6221878235769,6.987282985957304e-17,2.272539102612087e-16
AACS,80,-0.23363219776773897,0.4397704874258451,0,0,tested,-0.3314983257161973,-0.13576606981928063,-4.751728375401089,8.88638515447356e-06,1.4411921062776293e-05
AADAC,4,0.14742342531605007,0.7351416074690209,76,76,insufficient_pairs,,,,,
AADAT,34,-1.8802004451363843,0.761389339263964,46,46,tested,-2.1458617446948294,-1.6145391455779394,-14.399148744130393,8.7396885190112e-16,2.6711737653457618e-15
AAED1,36,0.4104447858847304,0.41352974283926613,44,44,tested,0.2705264509671771,0.5503631208022837,5.955239636210619,8.843564111807834e-07,1.5348620635392007e-06
AAGAB,80,-0.08615618684555738,0.20624637763656145,0,0,tested,-0.1320540698545652,-0.040258303836549575,-3.7363291937824195,0.0003512588420101407,0.0005076394976051842
AAK1,80,-0.31471018757418767,0.2240575938279427,0,0,tested,-0.36457176258287133,-0.264848612565504,-12.563080065351155,1.5965392478864463e-20,6.540805688788805e-20
AAMP,80,0.34214682684535536,0.3290939175243829,0,0,tested,0.2689105630205086,0.4153830906702021,9.299030123282424,2.5384093904056875e-14,7.139626632562133e-14
AAR2,80,0.2658552848668839,0.14630988422462396,0,0,tested,0.23329561508671107,0.29841495464705675,16.252367153192626,6.488755848625345e-27,4.451646962197908e-26
AARS,80,0.17395415425119662,0.27192025215708254,0,0,tested,0.11344126639200525,0.234467042110388,5.721873391753963,1.8124231704240902e-07,3.2936404664169643e-07
AARS2,80,-0.06911029683087,0.2930211169386307,0,0,tested,-0.13431895212234576,-0.003901641539394235,-2.1095451860062213,0.038063850695786536,0.04629890574488689
AARSD1,80,0.2387291845503134,0.21218533302220385,0,0,tested,0.19150965176200002,0.28594871733862676,10.063177831650277,8.325562865919086e-16,2.547657228829578e-15
AASDH,24,0.1912642004882591,0.9922823015939056,56,56,tested,-0.22773986779251615,0.6102682687690344,0.9442871176983881,0.3548377148934639,0.38745161520182936
AASDHPPT,80,0.02849336175394244,0.24805170911550511,0,0,tested,-0.02670784204722267,0.08369456555510756,1.0274163240639471,0.3073600220578277,0.33851115125180314
AASS,80,-1.614589890687379,0.6066616263218966,0,0,tested,-1.7495958222826635,-1.4795839590920945,-23.804589541948584,8.719781843946622e-38,2.867120526946707e-36
AATF,80,0.4032461257167525,0.19581506679631847,0,0,tested,0.35966961722138463,0.4468226342121204,18.419129100091034,2.5405720513417632e-30,2.4546019828745587e-29
ABAT,80,-2.1983160264391546,0.7808970750576717,0,0,tested,-2.3720961577742696,-2.0245358951040395,-25.179164979108897,1.7220785506711888e-39,8.479780998546583e-38
ABCA1,72,0.5891462996087559,0.7105761733079821,8,8,tested,0.4221690851090521,0.7561235141084597,7.035237474258829,1.0119332083445608e-09,2.1381913749287124e-09
ABCA12,26,0.23566566087523436,0.5515504760213801,54,54,tested,0.012889602433544034,0.4584417193169247,2.1787014166949588,0.038989735804268844,0.047317820818301264
ABCA2,76,-0.1119720885181572,0.4342766867998525,4,4,tested,-0.2112085625007606,-0.012735614535553802,-2.247760624427809,0.027530763600534778,0.03395705147389291
ABCA3,8,-0.24512474323541245,0.7719096374385676,72,72,insufficient_pairs,,,,,
ABCA5,12,-0.08213656777139255,0.5065050837375302,68,68,insufficient_pairs,,,,,
ABCA6,16,-0.12940888857183724,0.8459435161811286,64,64,insufficient_pairs,,,,,
ABCA8,56,-0.8431797481240623,0.6375993815657596,24,24,tested,-1.0139299775507264,-0.6724295186973982,-9.896150542678045,8.10059019086753e-14,2.1936587623675007e-13
ABCB1,80,-1.3115717287995126,0.6353763849362873,0,0,tested,-1.4529678168989641,-1.170175640700061,-18.4631573504685,2.179064113350987e-30,2.117368971152203e-29
ABCB10,80,0.17148577396168302,0.46043438440204176,0,0,tested,0.06902112100254573,0.2739504269208203,3.3312355527093973,0.0013166724504732887,0.0018234840064774772
ABCB5,8,-0.4426479136744612,1.1026823732236437,72,72,insufficient_pairs,,,,,
ABCB6,80,0.8306123396004041,0.547649237424451,0,0,tested,0.7087389718481071,0.9524857073527012,13.565658654297769,2.4733730238123123e-22,1.135123423310171e-21
ABCB7,44,0.2182475959427751,0.4702852620427669,36,36,tested,0.07526780785649129,0.3612273840290589,3.0783247767328556,0.003617614958231658,0.004832177862567854
ABCB8,80,-0.9258133746305198,0.5191897128441079,0,0,tested,-1.0413533854305685,-0.8102733638304712,-15.94932710674809,2.0367387538077528e-26,1.329095910215264e-25
ABCB9,8,0.2107594023043125,0.4417525629686439,72,72,insufficient_pairs,,,,,
ABCC1,80,0.7763299668599888,0.337789654501894,0,0,tested,0.7011585615648068,0.8515013721551707,20.556302488646647,1.9117651321167736e-33,2.7719234696538084e-32
ABCC10,51,-0.015714208226542917,0.6557450795046309,29,29,tested,-0.20014548382262254,0.16871706736953668,-0.17113646273312677,0.8648071719209538,0.8756312211572745
ABCC2,80,-0.8121250533735328,0.8063863041086514,0,0,tested,-0.9915775347706366,-0.632672571976429,-9.007924942778708,9.387325971423447e-14,2.531349566844423e-13
