gene,protein_n,protein_mean_difference,protein_sd_difference,protein_tumor_nonfinite,protein_normal_nonfinite,protein_status,protein_ci95_low,protein_ci95_high,protein_t,protein_p,protein_q,rna_n,rna_mean_difference,rna_sd_difference,rna_tumor_nonfinite,rna_normal_nonfinite,rna_status,rna_ci95_low,rna_ci95_high,rna_t,rna_p,rna_q,same_direction,joint_pair_n,joint_protein_mean,joint_rna_mean
A1BG,72,0.31501354301808304,0.6460880412493156,0,0,tested,0.16319029661347614,0.4668367894226899,4.137173850231935,9.524610585529435e-05,0.00014719719347599633,72,0.4976946603373784,0.5926589180371878,0,0,tested,0.35842664235478583,0.636962678319971,7.12564867057946,6.904722867589754e-10,1.5712458751462324e-09,True,72.0,0.3150135430180831,0.49769466033737825
A1CF,72,-0.45314450749943297,0.7295996211057765,0,0,tested,-0.6245920130710546,-0.28169700192781133,-5.270094087351501,1.399804339666472e-06,2.481752419133012e-06,72,-0.6839952362924806,1.4685745990357435,0,0,tested,-1.0290933482801503,-0.3388971243048109,-3.9520580312306177,0.00018087865996938433,0.0002814572601733096,True,72.0,-0.45314450749943297,-0.6839952362924806
A2M,72,0.6110817861752885,0.7240914413194546,0,0,tested,0.44092863939619703,0.78123493295438,7.1609752615236415,5.945740705818848e-10,1.3465827652704402e-09,72,0.549141031765368,0.7490874442745544,0,0,tested,0.37311411225950664,0.7251679512712293,6.220390161767272,3.048027636932846e-08,6.18683235656256e-08,True,72.0,0.6110817861752889,0.5491410317653681
A4GALT,4,0.544466361837924,0.41785870307261447,68,68,insufficient_pairs,,,,,,72,0.07783149450954584,0.6458529160266032,0,0,tested,-0.07393650017649532,0.22959948919558698,1.0225580999990367,0.3099883812604083,0.34559269873749204,True,4.0,0.544466361837924,0.10842096708277771
AAAS,72,0.17711877448499447,0.1579357399463184,0,0,tested,0.14000569510405148,0.21423185386593746,9.515912222757905,2.6330958825470745e-14,8.002984244045682e-14,72,0.048717588979272176,0.2488531314983642,0,0,tested,-0.009760029998130942,0.1071952079566753,1.6611502852088713,0.10109322334476306,0.12110424254398472,True,72.0,0.17711877448499447,0.048717588979272176
AACS,72,-0.25171712288289877,0.45283127533588297,0,0,tested,-0.3581272557219037,-0.14530699004389386,-4.716747121300107,1.1646005481268446e-05,1.928761521848239e-05,72,-0.5710970580525676,0.4413149710831625,0,0,tested,-0.6748009920663314,-0.4673931240388038,-10.98063638693716,5.86919723917633e-17,2.1767658572837514e-16,True,72.0,-0.25171712288289877,-0.5710970580525676
AADAC,4,0.14742342531605007,0.7351416074690209,68,68,insufficient_pairs,,,,,,72,0.11479421282481482,0.7406420802385624,0,0,tested,-0.059248143427819214,0.28883656907744887,1.3151577826080747,0.19268860907549,0.22193759622131495,True,4.0,0.14742342531605007,1.4720062262242208
AADAT,29,-1.7628066744616095,0.757589922666525,43,43,tested,-2.0509784693315183,-1.4746348795917006,-12.530531599047007,5.33225847319848e-13,1.4835981492401651e-12,72,-0.6278130534269448,0.46983924107712954,0,0,tested,-0.7382198622740388,-0.5174062445798508,-11.338283274369973,1.3625729423087698e-17,5.3049394959052534e-17,True,29.0,-1.7628066744616095,-0.7966476835407812
AAED1,33,0.4486386911735025,0.40615109126968196,39,39,tested,0.3046237763412136,0.5926536060057914,6.34550324375651,4.0071585453488315e-07,7.428644066054107e-07,72,0.9251398967761058,0.34005616858050863,0,0,tested,0.8452306147934626,1.0050491787587488,23.08463442215362,9.921016916356837e-35,2.6796610321665516e-33,True,33.0,0.4486386911735025,0.8791533674914671
AAGAB,72,-0.08583477700131653,0.20399522990200258,0,0,tested,-0.13377130589123115,-0.037898248111401904,-3.570339536375808,0.0006445516330173174,0.0009304728825989563,72,-0.6057276875565213,0.3024199206172173,0,0,tested,-0.6767928848580324,-0.5346624902550102,-16.995473891382716,9.96735251610008e-27,9.254355863947413e-26,True,72.0,-0.08583477700131653,-0.6057276875565213
AAK1,72,-0.3202745753539141,0.2124772345409937,0,0,tested,-0.370204277616641,-0.27034487309118727,-12.79016970812663,4.2101694181049715e-20,1.933209600542205e-19,72,-0.6643477878169312,0.28941731214568556,0,0,tested,-0.7323575219248212,-0.5963380537090411,-19.477680406146494,3.377067873966622e-30,4.7251615616979637e-29,True,72.0,-0.3202745753539141,-0.6643477878169312
AAMP,72,0.3355689535795656,0.3390536197980263,0,0,tested,0.25589525901089344,0.4152426481482378,8.398072827765724,3.0551292861557363e-12,8.12191630312679e-12,72,0.012663425815026478,0.3401559998958676,0,0,tested,-0.06726931537661439,0.09259616700666735,0.31589250589491497,0.7530108487347066,0.7766177408846584,True,72.0,0.33556895357956573,0.012663425815026478
AAR2,72,0.26928595320972115,0.15131390708721018,0,0,tested,0.2337289282635182,0.3048429781559241,15.10083988378926,7.300104570627907e-24,4.8795435814197067e-23,72,0.1140692028260465,0.18782192579505438,0,0,tested,0.06993321407592112,0.15820519157617188,5.153334883650631,2.2062272888406968e-06,3.943913875839602e-06,True,72.0,0.2692859532097212,0.1140692028260465
AARS,72,0.1730509951794657,0.2753433574421036,0,0,tested,0.10834847828723167,0.23775351207169976,5.33292831114884,1.0940708199400075e-06,1.9580471880945587e-06,72,-0.3367011147561349,0.5493421054888297,0,0,tested,-0.4657901808233278,-0.207612048688942,-5.200773196118478,1.8347623687824935e-06,3.2947404327508847e-06,False,72.0,0.17305099517946576,-0.33670111475613484
AARS2,72,-0.0705864687636013,0.2921338306777989,0,0,tested,-0.13923455343075294,-0.001938384096449669,-2.0502454210229764,0.04403400759607652,0.05358316533795461,72,0.15845307883668255,0.3146809806265636,0,0,tested,0.08450667368711859,0.23239948398624652,4.272641313963675,5.899661033603476e-05,9.531995458745017e-05,False,72.0,-0.07058646876360129,0.1584530788366825
AARSD1,72,0.24080452873272343,0.22153154965953498,0,0,tested,0.18874716672782094,0.2928618907376259,9.223490674932535,9.083901448079714e-14,2.6617635288721894e-13,72,0.043667640345595275,0.2624581767624502,0,0,tested,-0.0180070075312765,0.10534228822246705,1.4117762298440237,0.16238354817543454,0.18922191252334156,True,72.0,0.24080452873272348,0.043667640345595275
AASDH,22,0.1093146175466234,0.9664012126030266,50,50,tested,-0.31916367610607577,0.5377929111993226,0.530557079433602,0.6012919536213841,0.631768998919609,72,-0.16722771584658716,0.20728179679196118,0,0,tested,-0.21593655009258694,-0.11851888160058739,-6.845628726161915,2.2504822160450855e-09,4.945443122396545e-09,False,22.0,0.1093146175466234,-0.17425301582641545
AASDHPPT,72,0.023378184182463797,0.2411837598463875,0,0,tested,-0.03329722081209725,0.08005358917702485,0.8224868495844124,0.4135536460316118,0.44788252705474546,72,0.08703084425818781,0.33309979123892214,0,0,tested,0.008756230809531043,0.16530545770684457,2.2169968915968767,0.029826723476372725,0.03805899522904491,True,72.0,0.023378184182463804,0.08703084425818783
