n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,gene,layer,selection,loo_mean_min,loo_mean_max,median_difference,skewness,bootstrap_ci_low,bootstrap_ci_high,layer_cohort_mean,layer_cohort_n
72,2.344681824998151,0.6899426539953044,0,0,tested,2.182553249827455,2.506810400168847,28.836142979366965,6.208222317013929e-41,1.6766939317833683e-38,CA9,protein,prespecified,2.318741912187579,2.361981693600058,2.349052252932104,0.2192824163585245,2.1904729218785763,2.500022310879166,2.3113340996512006,80
72,6.45201147094601,1.0825776096094284,0,0,tested,6.197618204576267,6.7064047373157525,50.57109280187626,1.9997690142974036e-57,1.226632509898875e-54,CA9,rna,prespecified,6.431272076501024,6.5440641798886015,6.625960564992189,-3.3666253327805387,6.179164602768576,6.671313872210265,6.45201147094601,72
72,2.784738522058789,0.8186850955741054,0,0,tested,2.59235695630069,2.977120087816888,28.862489424923478,5.847774959390479e-41,1.6766939317833683e-38,NNMT,protein,prespecified,2.758931536282589,2.8106615344129064,2.7093244497077005,0.01668011847876254,2.5964837484569245,2.9747149693195865,2.735280306140001,80
72,4.738401637036335,1.3482441181560616,0,0,tested,4.4215798017821815,5.055223472290489,29.821506812427252,6.836830702155167e-42,5.676957895261157e-40,NNMT,rna,prespecified,4.703157909776848,4.793414169035401,4.94703014022702,-0.9470092251743573,4.428924569526803,5.019236680783171,4.738401637036335,72
1,1.0684955485392982,,71,71,insufficient_pairs,,,,,,VEGFA,protein,prespecified,,,,,,,1.3155013831007991,2
72,3.014343994335085,0.977442528567762,0,0,tested,2.784656260796274,3.2440317278738964,26.167837190548646,3.4097329738881123e-38,1.5327676713589234e-36,VEGFA,rna,prespecified,2.9937881560392468,3.090531803923781,3.1885039280799945,-2.5513647374397848,2.7717090950768233,3.222544605324865,3.014343994335085,72
72,-0.1746701641163541,0.15860765946748293,0,0,tested,-0.21194113684388893,-0.1373991913888193,-9.3446022417067,5.435932203266045e-14,1.6188396496102174e-13,MTOR,protein,prespecified,-0.1798560710900056,-0.169998430556976,-0.21754946813674889,0.4058623354529063,-0.21147010730418378,-0.1374935431549772,-0.18112910896353226,80
72,-0.7781365045651277,0.2788110625766145,0,0,tested,-0.8436538922141047,-0.7126191169161508,-23.681654263582985,1.988406173130029e-35,5.907741153448047e-34,MTOR,rna,prespecified,-0.7881351467537047,-0.7692405148918858,-0.8207042734217098,0.573588742837678,-0.8444738956245073,-0.7149034410988918,-0.7781365045651277,72
72,3.908581756896538,0.9305269493372691,0,0,tested,3.68991864398366,4.127244869809417,35.641542681921905,4.770189623027835e-47,4.785931248783827e-43,NDUFA4L2,protein,exploratory,3.878610660935432,3.9376928723864584,3.880302709882801,-0.10191801251022825,3.6915071299147377,4.129579998747232,3.8457327833443484,80
72,6.912919098271619,1.0552379527348918,0,0,tested,6.664950336299533,7.1608878602437045,55.5875227138641,2.8550466531575773e-60,3.0160395616550743e-57,NDUFA4L2,rna,exploratory,6.890264492083338,7.005369600995266,7.11506753046366,-3.4923386081473446,6.641101269568003,7.131915874988107,6.912919098271619,72
72,-3.1789657827277074,1.391504364511693,0,0,tested,-3.505953277493644,-2.8519782879617708,-19.385076923554614,4.49311033689923e-30,6.840572990911984e-29,MT1H,protein,exploratory,-3.222023364663507,-3.1341085956995114,-3.1737470764431985,-0.0012749545725933994,-3.488606807666959,-2.8576988621276653,-3.2640422504792808,80
72,-5.38684534687709,1.9412921702039823,0,0,tested,-5.843026642123321,-4.930664051630859,-23.54560492713314,2.8600127393266805e-35,8.277495013439395e-34,MT1H,rna,exploratory,-5.469303986273149,-5.349500430762054,-5.888683197975535,1.493151221274781,-5.816616444547962,-4.919883323363018,-5.38684534687709,72
