gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
A1BG,72,1.0,0.31501354301808304,0.6460880412493156,0.16319029661347614,0.4668367894226899,9.524610585529435e-05,0.00013627858173006585,tested,3799.0
A1CF,72,1.0,-0.45314450749943297,0.7295996211057765,-0.6245920130710546,-0.28169700192781133,1.399804339666472e-06,2.240465848901782e-06,tested,2829.0
A2M,72,1.0,0.6110817861752885,0.7240914413194546,0.44092863939619703,0.78123493295438,5.945740705818848e-10,1.1597722364898281e-09,tested,2100.0
A4GALT,4,0.05555555555555555,0.544466361837924,0.41785870307261447,,,,,insufficient_pairs,
AAAS,72,1.0,0.17711877448499447,0.1579357399463184,0.14000569510405148,0.21423185386593746,2.6330958825470745e-14,6.683565785702533e-14,tested,5167.0
AACS,72,1.0,-0.25171712288289877,0.45283127533588297,-0.3581272557219037,-0.14530699004389386,1.1646005481268446e-05,1.760452855595647e-05,tested,4359.0
AADAC,4,0.05555555555555555,0.14742342531605007,0.7351416074690209,,,,,insufficient_pairs,
AADAT,29,0.4027777777777778,-1.7628066744616095,0.757589922666525,,,,,insufficient_pairs,
AAED1,33,0.4583333333333333,0.4486386911735025,0.40615109126968196,,,,,insufficient_pairs,
AAGAB,72,1.0,-0.08583477700131653,0.20399522990200258,-0.13377130589123115,-0.037898248111401904,0.0006445516330173174,0.0008763029797976831,tested,6572.0
AAK1,72,1.0,-0.3202745753539141,0.2124772345409937,-0.370204277616641,-0.27034487309118727,4.2101694181049715e-20,1.566221916555078e-19,tested,3745.0
AAMP,72,1.0,0.3355689535795656,0.3390536197980263,0.25589525901089344,0.4152426481482378,3.0551292861557363e-12,6.865516537583231e-12,tested,3624.0
AAR2,72,1.0,0.26928595320972115,0.15131390708721018,0.2337289282635182,0.3048429781559241,7.300104570627907e-24,3.9354111252903053e-23,tested,4195.0
AARS,72,1.0,0.1730509951794657,0.2753433574421036,0.10834847828723167,0.23775351207169976,1.0940708199400075e-06,1.7640933701294936e-06,tested,5215.0
AARS2,72,1.0,-0.0705864687636013,0.2921338306777989,-0.13923455343075294,-0.001938384096449669,0.04403400759607652,0.05178882844316593,tested,6837.0
AARSD1,72,1.0,0.24080452873272343,0.22153154965953498,0.18874716672782094,0.2928618907376259,9.083901448079714e-14,2.231221173005002e-13,tested,4456.0
AASDH,22,0.3055555555555556,0.1093146175466234,0.9664012126030266,,,,,insufficient_pairs,
AASDHPPT,72,1.0,0.023378184182463797,0.2411837598463875,-0.03329722081209725,0.08005358917702485,0.4135536460316118,0.4408684401242358,tested,7636.0
AASS,72,1.0,-1.583641449286786,0.6008712017174856,-1.7248392593242314,-1.4424436392493407,7.2165633552839715e-34,1.9504094383710437e-32,tested,240.0
AATF,72,1.0,0.4096891365641014,0.19924205450431237,0.36286954913345354,0.45650872399474923,2.203188471401713e-27,1.7482246254846698e-26,tested,3095.0
