cohort,layer,gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
all_stage,protein,CA9,72,1.0,2.344681824998151,0.6899426539953044,2.182553249827455,2.506810400168847,6.208222317013929e-41,1.3459675995797117e-38,tested,26.0
all_stage,protein,NNMT,72,1.0,2.784738522058789,0.8186850955741054,2.59235695630069,2.977120087816888,5.847774959390479e-41,1.3459675995797117e-38,tested,10.0
all_stage,protein,VEGFA,1,0.013888888888888888,1.0684955485392982,,,,,,insufficient_pairs,
all_stage,protein,MTOR,72,1.0,-0.1746701641163541,0.15860765946748293,-0.21194113684388893,-0.1373991913888193,5.435932203266045e-14,1.3567089546050427e-13,tested,5193.0
all_stage,protein,NDUFA4L2,72,1.0,3.908581756896538,0.9305269493372691,3.68991864398366,4.127244869809417,4.770189623027835e-47,3.841910722386619e-43,tested,1.0
all_stage,protein,MT1H,72,1.0,-3.1789657827277074,1.391504364511693,-3.505953277493644,-2.8519782879617708,4.49311033689923e-30,5.499621679845957e-29,tested,2.0
all_stage,rna,CA9,72,1.0,6.45201147094601,1.0825776096094284,6.197618204576267,6.7064047373157525,1.9997690142974036e-57,1.226632509898875e-54,tested,8.0
all_stage,rna,NNMT,72,1.0,4.738401637036335,1.3482441181560616,4.4215798017821815,5.055223472290489,6.836830702155167e-42,5.676957895261157e-40,tested,44.0
all_stage,rna,VEGFA,72,1.0,3.014343994335085,0.977442528567762,2.784656260796274,3.2440317278738964,3.4097329738881123e-38,1.5327676713589234e-36,tested,195.0
all_stage,rna,MTOR,72,1.0,-0.7781365045651277,0.2788110625766145,-0.8436538922141047,-0.7126191169161508,1.988406173130029e-35,5.907741153448047e-34,tested,3610.0
all_stage,rna,NDUFA4L2,72,1.0,6.912919098271619,1.0552379527348918,6.664950336299533,7.1608878602437045,2.8550466531575773e-60,3.0160395616550743e-57,tested,6.0
all_stage,rna,MT1H,72,1.0,-5.38684534687709,1.9412921702039823,-5.843026642123321,-4.930664051630859,2.8600127393266805e-35,8.277495013439395e-34,tested,24.0
stage_I_II,protein,CA9,37,1.0,2.4115220104129556,0.6808249670781362,2.184523664748262,2.638520356077649,3.6714148762697263e-22,7.069221929617447e-20,tested,26.0
stage_I_II,protein,NNMT,37,1.0,2.593459360870257,0.7884326294978455,2.3305828342761097,2.8563358874644043,4.315221702674727e-21,3.793173685818535e-19,tested,17.0
stage_I_II,protein,VEGFA,0,0.0,,,,,,,insufficient_pairs,
stage_I_II,protein,MTOR,37,1.0,-0.18784223621732937,0.15957375894838421,-0.24104677636255378,-0.13463769607210496,2.0250066670848275e-08,5.085785377861801e-08,tested,5211.0
stage_I_II,protein,NDUFA4L2,37,1.0,3.829256387384305,0.9832004658627446,3.5014410310153536,4.1570717437532565,1.500875678958603e-23,9.16035342335729e-21,tested,1.0
stage_I_II,protein,MT1H,37,1.0,-3.3411305205935524,1.457841564855351,-3.827199098371507,-2.8550619428155977,4.428862568631678e-16,4.042461805025325e-15,tested,2.0
stage_I_II,rna,CA9,37,1.0,6.458845234106993,1.2416924225816257,6.044844368421839,6.872846099792146,7.187945344101681e-28,1.4778259367791666e-25,tested,10.0
stage_I_II,rna,NNMT,37,1.0,4.840280785491725,1.3362494500965538,4.394753037193883,5.285808533789567,1.7325676328528166e-22,9.610415476660124e-21,tested,45.0
stage_I_II,rna,VEGFA,37,1.0,2.968005434880341,1.0244483898929464,2.626437335927429,3.3095735338332526,2.758161833706803e-19,6.370040425465711e-18,tested,221.0
stage_I_II,rna,MTOR,37,1.0,-0.7752950464544858,0.2548588498609627,-0.8602692176349699,-0.6903208752740017,5.643793726833801e-20,1.6273225357173987e-18,tested,3761.0
stage_I_II,rna,NDUFA4L2,37,1.0,6.788701550490454,1.3117729661019686,6.351334668264114,7.226068432716794,8.581436941070068e-28,1.708609260424635e-25,tested,6.0
stage_I_II,rna,MT1H,37,1.0,-5.482171393941178,2.08715775096628,-6.178064434767651,-4.786278353114704,6.367930811628604e-18,1.0147380901596887e-16,tested,25.0
