gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
A1BG,37,1.0,0.5289349570595512,0.5368155437255139,0.3499517436857098,0.7079181704333926,7.090595205181451e-07,1.5026636117479664e-06,tested,2591.0
A1CF,37,1.0,-0.5179608174799105,0.7263554551781733,-0.7601397836796736,-0.2757818512801474,0.0001113132731346824,0.0001856828465016866,tested,2644.0
A2M,37,1.0,0.6810354802297833,0.5727301758652641,0.4900777323204838,0.8719932281390829,1.6277466653145607e-08,4.1226392992166776e-08,tested,1957.0
A4GALT,2,0.05405405405405406,0.2698688930284999,0.017784703135637483,,,,,insufficient_pairs,
AAAS,37,1.0,0.16967706452739184,0.17950558409967435,0.1098269230099993,0.22952720604478438,1.5014102529278285e-06,3.0537989726929953e-06,tested,5442.0
AACS,37,1.0,-0.21568560633707828,0.47531446531590177,-0.37416333925609613,-0.05720787341806041,0.009029135483886149,0.012206388943194129,tested,4896.0
AADAC,1,0.02702702702702703,-0.29392524647959895,,,,,,insufficient_pairs,
AADAT,16,0.43243243243243246,-2.0647085419106737,0.7899705300180017,,,,,insufficient_pairs,
AAED1,21,0.5675675675675675,0.5487193681241808,0.44358873977668034,,,,,insufficient_pairs,
AAGAB,37,1.0,-0.12455705437231601,0.19858990373847032,-0.1907702248554864,-0.058343883889145645,0.0005151412521901491,0.0008005279220718169,tested,6066.0
AAK1,37,1.0,-0.3225279928048865,0.23027993253154475,-0.3993071449396504,-0.24574884067012254,3.7376042598867066e-10,1.153664337774954e-09,tested,3871.0
AAMP,37,1.0,0.24052069431372428,0.37027194396093793,0.11706588171203439,0.36397550691541414,0.00034751428653541567,0.0005507246786619453,tested,4609.0
AAR2,37,1.0,0.24143908079286297,0.14747827709235578,0.19226737508248481,0.2906107865032411,6.9474272927243395e-12,2.6728755716585033e-11,tested,4601.0
AARS,37,1.0,0.10024491837375073,0.2454125833226955,0.018420289264405587,0.18206954748309587,0.01775348801587933,0.023209255994894304,tested,6461.0
AARS2,37,1.0,-0.16591397243107792,0.2827117477146036,-0.26017476211187707,-0.07165318275027877,0.001035450476786487,0.0015607992555027625,tested,5488.0
