gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
A1BG,37,1.0,0.5884891841338301,0.6655110687874083,0.3665967463687711,0.8103816218988891,4.702476631685643e-06,1.0179371193446318e-05,tested,5100.0
A1CF,37,1.0,-0.7917168872803535,1.408810536704712,-1.2614377063616788,-0.32199606819902815,0.0015795714041169087,0.0025373752109444864,tested,3670.0
A2M,37,1.0,0.8325997946540806,0.5873752562363023,0.636759133841896,1.0284404554662652,2.7870904222148347e-10,1.005297775289733e-09,tested,3433.0
A2ML1,37,1.0,-0.02016047507967333,0.09798160092863538,-0.052829167316140346,0.012508217156793688,0.21879629298217437,0.2577239931347508,tested,16914.0
A3GALT2,37,1.0,0.017045845212140087,0.2321509475306928,-0.06035713438204149,0.09444882480632166,0.6578167547649588,0.6945742947627105,tested,17109.0
A4GALT,37,1.0,0.1851069135352,0.47293443755970727,0.027422721378370707,0.3427911056920293,0.02268861031686136,0.03141231621603225,tested,11468.0
A4GNT,37,1.0,-0.08807407615576443,0.5248443212034304,-0.2630658852193919,0.08691773290786306,0.3141848414440922,0.3590602547226756,tested,14226.0
AAAS,37,1.0,0.0040116649342858,0.2607103407842067,-0.08291349045429643,0.09093682032286803,0.9259473708726627,0.9369941429518732,tested,18144.0
AACS,37,1.0,-0.5767396989804372,0.38899914268166524,-0.7064384705056417,-0.4470409274552327,9.106229137203149e-11,3.5368444379917365e-10,tested,5217.0
AADAC,37,1.0,0.05962617237410311,0.3717094165963096,-0.06430791746615225,0.18356026221435848,0.33570462707544696,0.37821508256192027,tested,15203.0
AADACL2,37,1.0,0.059528648923944494,0.10977473360317724,0.022927930488711452,0.09612936735917754,0.0021951208009998286,0.0034669931488737274,tested,15208.0
AADACL3,37,1.0,-0.0007445613401848675,0.0031638673950719056,-0.0017994472496514645,0.00031032456928172956,0.16091970710765957,0.19501513710541907,tested,18737.0
AADACL4,37,1.0,-0.21212341175386537,0.12515201709005003,-0.2538511717653168,-0.17039565174241392,2.732001133031245e-12,1.3418800683273435e-11,tested,10774.0
AADAT,37,1.0,-0.6625507538923404,0.3889057376507623,-0.7922183826297258,-0.5328831251549551,2.377232401263119e-12,1.1764874638904212e-11,tested,4503.0
AAED1,37,1.0,1.0103255573286583,0.2652958354901637,0.9218715218862589,1.0987795927710575,3.2063681390532816e-23,2.1660161910783154e-21,tested,2592.0
AAGAB,37,1.0,-0.6059989888200763,0.23050865732612474,-0.6828544015981668,-0.5291435760419858,6.190585208790302e-18,9.895616784504692e-17,tested,4944.0
AAK1,37,1.0,-0.6274148013307591,0.31452758963911714,-0.7322835208496618,-0.5225460818118565,2.786530589797566e-14,1.9463525149933888e-13,tested,4773.0
AAMDC,37,1.0,0.07201456563203001,0.32128211751112223,-0.035106225604029886,0.1791353568680899,0.1812115288458231,0.21703386280420323,tested,14748.0
AAMP,37,1.0,-0.04432869504067412,0.4043653275318809,-0.17915080767239905,0.0904934175910508,0.5091354816167569,0.552956915180349,tested,15813.0
AANAT,37,1.0,0.17117995374231654,0.16648813275992003,0.11567004659026528,0.2266898608943678,3.1832931239798416e-07,7.846232660943277e-07,tested,11820.0
AAR2,37,1.0,0.11326880605624862,0.16885872721484607,0.056968503361243726,0.1695691087512535,0.0002383640560951848,0.0004223961140191513,tested,13406.0
AARD,37,1.0,-0.5302189967395581,0.38563083409509985,-0.6587947182683443,-0.4016432752107718,5.848985299403804e-10,2.020335225314517e-09,tested,5666.0
AARS,37,1.0,-0.4819244378762626,0.3964549375871145,-0.6141090951885522,-0.34973978056397304,1.0051648523613467e-08,2.9642490150319416e-08,tested,6198.0
AARS2,37,1.0,0.1395698829660227,0.26371091120485035,0.05164428758996517,0.22749547834208025,0.002721694608715884,0.004248997484636922,tested,12656.0
AARSD1,37,1.0,0.05085117657983298,0.22659751427985828,-0.024700196181965693,0.12640254934163164,0.18070991073684903,0.21654279135809307,tested,15534.0
AASDH,37,1.0,-0.1492106574027597,0.18902974345883797,-0.21223631175079283,-0.08618500305472661,2.7519744509985307e-05,5.4460762440507644e-05,tested,12414.0
AASDHPPT,37,1.0,0.10120729524389359,0.33861762231830334,-0.01169344106289523,0.21410803155068242,0.07738739787598849,0.09920587128595881,tested,13797.0
AASS,37,1.0,-1.4264417216596053,0.5423986701122021,-1.6072864420502269,-1.2455970012689837,6.122889901387099e-18,9.814784956333643e-17,tested,1417.0
AATF,37,1.0,0.4334084482509887,0.22348201250205157,0.35889583549899495,0.5079210610029824,6.302076077576546e-14,4.0963494504247543e-13,tested,6817.0
AATK,37,1.0,0.012641100735294918,0.518176183563435,-0.16012744054859837,0.18540964201918822,0.88286209343652,0.8987318495964574,tested,17396.0
AATK-AS1,37,1.0,-0.00098476380063455,0.07431336688009468,-0.02576207391449662,0.023792546313227518,0.9362019502093807,0.9458530011863282,tested,18669.0
ABAT,37,1.0,-3.6549795083208876,1.3594372172416485,-4.108238443100013,-3.201720573541763,3.0365177610292744e-18,5.2936159861630166e-17,tested,116.0
ABC13-47488600E17.1,37,1.0,0.05034698071426425,0.12148285350158632,0.009842580751033253,0.09085138067749525,0.01627554779369561,0.023018691978297628,tested,15561.0
ABC7-42404400C24.1,37,1.0,0.02544003228170597,0.09716379131455402,-0.006955988653851126,0.05783605321726307,0.11998768878720885,0.14880455896997477,tested,16646.0
ABCA1,37,1.0,1.5064511452909655,0.5249829741921912,1.3314131070192565,1.6814891835626744,3.760570333083676e-19,8.44788454278833e-18,tested,1283.0
ABCA10,37,1.0,-0.6637781816824907,0.502593707321662,-0.8313512667194982,-0.4962050966454832,1.5218981182318077e-09,4.985573762790898e-09,tested,4495.0
ABCA12,37,1.0,1.2935778796801787,0.9274898791490348,0.9843373577129306,1.6028184016474267,4.140777582506402e-10,1.4577109244948557e-09,tested,1726.0
ABCA13,37,1.0,-0.5798420303488887,0.528946358620288,-0.7562015267807947,-0.40348253391698274,8.983912787690204e-08,2.3497056191808659e-07,tested,5179.0
ABCA2,37,1.0,-0.24635863583441775,0.41052329145597916,-0.38323391586015326,-0.10948335580868224,0.0008248385602448458,0.0013723125487757285,tested,9986.0
ABCA3,37,1.0,0.5975391474107183,0.4832449681478108,0.43641725320181946,0.7586610416196172,6.879194508459674e-09,2.0766033215371004e-08,tested,5013.0
