gene,n_four_finite,protein_mean,rna_mean,same_direction
A1BG,72,0.3150135430180831,0.49769466033737825,True
A1CF,72,-0.45314450749943297,-0.6839952362924806,True
A2M,72,0.6110817861752889,0.5491410317653681,True
AAAS,72,0.17711877448499447,0.048717588979272176,True
AACS,72,-0.25171712288289877,-0.5710970580525676,True
AADAT,29,-1.7628066744616095,-0.7966476835407812,True
AAED1,33,0.4486386911735025,0.8791533674914671,True
AAGAB,72,-0.08583477700131653,-0.6057276875565213,True
AAK1,72,-0.3202745753539141,-0.6643477878169312,True
AAMP,72,0.33556895357956573,0.012663425815026478,True
AAR2,72,0.2692859532097212,0.1140692028260465,True
AARS,72,0.17305099517946576,-0.33670111475613484,False
AARS2,72,-0.07058646876360129,0.1584530788366825,False
AARSD1,72,0.24080452873272348,0.043667640345595275,True
AASDH,22,0.1093146175466234,-0.17425301582641545,False
AASDHPPT,72,0.023378184182463804,0.08703084425818783,True
AASS,72,-1.5836414492867863,-1.4629240861840296,True
AATF,72,0.40968913656410133,0.5054553984565167,True
ABAT,72,-2.1370054133654897,-3.582891230522505,True
ABCA1,64,0.6243689230738005,1.6075870315670993,True
ABCA12,23,0.23090106849556924,1.332780764032449,True
ABCA2,68,-0.09035196433839177,-0.218102099073105,True
ABCA8,49,-0.8013334113519938,-2.3008606923860286,True
ABCB1,72,-1.2831020739612846,-1.862524856982847,True
ABCB10,72,0.19222047509902718,0.21949129172633083,True
ABCB6,72,0.8407526105308613,0.8784949352526037,True
ABCB7,39,0.22207152133305677,-0.0062123775198395185,False
ABCB8,72,-0.9024192083425662,-0.6573706354007426,True
ABCC1,72,0.7744483830441847,0.8979956679175487,True
ABCC10,47,-0.02617349749916562,-0.3284935003419724,True
ABCC2,72,-0.8053441525964821,-0.9438272804720403,True
ABCC3,72,1.121873080743875,1.5984575551170097,True
ABCC4,72,0.19167884773432864,-0.13402974271194745,False
ABCC6,72,-1.0846067480419919,-1.6685686723439404,True
ABCD1,72,0.5660943643196099,0.5958351756713736,True
ABCD3,72,-0.9994058619149584,-0.9491718972208198,True
ABCE1,72,0.2335974341695709,0.3717805053242355,True
ABCF1,72,0.007505959986819816,-0.4191378913140155,False
ABCF2,72,0.00048621836512038267,-0.09417923010220947,False
ABCF3,72,-0.06325460046371918,-0.43179619692005927,True
ABCG2,30,0.4006114337631842,0.5715021133795359,True
ABHD10,72,-1.1638681241847517,-0.8522126383674703,True
ABHD11,72,-0.583331273402814,-0.3927358432659338,True
ABHD12,72,0.369985799740971,0.14386642049941667,True
ABHD13,22,-0.1560450707987173,-0.15083972031919948,True
ABHD14B,72,-0.7209050615618178,-1.137610522502357,True
ABHD15,64,-1.5756776067335512,-0.1885848778887364,True
ABHD16A,24,-0.09650112911683799,-0.1074841103643278,True
ABHD17A,46,0.28015794933653326,0.6613374874093796,True
ABHD17B,57,-0.03293989488221215,-0.2615623266293056,True
ABHD18,32,-0.6860490022310084,-0.16800145599277472,True
ABHD3,58,-0.1361486930475213,-0.1560030681740831,True
ABHD4,72,-0.17897322768950708,-0.5364765087337768,True
ABHD5,72,0.3909187982627042,-0.5382323522185086,False
ABHD6,72,-0.714520073451155,-0.8111796885479754,True
ABI1,45,0.25095717059501815,0.2453671628230646,True
ABI2,72,-0.1792396377640182,-0.39774633950895405,True
ABI3,72,0.8395702809779474,1.3069554794836098,True
ABL1,72,-0.026680783537227547,-0.2870304739247216,True
ABL2,71,0.2711673178110449,0.7365557137907884,True
ABLIM1,72,-0.8431007007092377,-0.7469243683620057,True
ABLIM3,50,1.1589126226278763,1.3494050735094354,True
ABO,35,-0.2303061101738235,-1.584669054341391,True
