gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
A1BG,72,0.31501354301808304,0.16319029661347614,0.4668367894226899,9.524610585529435e-05,0.00014719719347599633,0.6460880412493156,0.29697301381769875,0,tested
A1CF,72,-0.45314450749943297,-0.6245920130710546,-0.28169700192781133,1.399804339666472e-06,2.481752419133012e-06,0.7295996211057765,-0.5774314951714494,0,tested
A2M,72,0.6110817861752885,0.44092863939619703,0.78123493295438,5.945740705818848e-10,1.3465827652704402e-09,0.7240914413194546,0.6170982559419039,0,tested
A4GALT,4,0.544466361837924,,,,,0.41785870307261447,0.38421355122664946,68,insufficient_pairs
AAAS,72,0.17711877448499447,0.14000569510405148,0.21423185386593746,2.6330958825470745e-14,8.002984244045682e-14,0.1579357399463184,0.17879062907415022,0,tested
AACS,72,-0.25171712288289877,-0.3581272557219037,-0.14530699004389386,1.1646005481268446e-05,1.928761521848239e-05,0.45283127533588297,-0.20220941629925082,0,tested
AADAC,4,0.14742342531605007,,,,,0.7351416074690209,-0.17999144387614885,68,insufficient_pairs
AADAT,29,-1.7628066744616095,-2.0509784693315183,-1.4746348795917006,5.33225847319848e-13,1.4835981492401651e-12,0.757589922666525,-1.936776985160405,43,tested
AAED1,33,0.4486386911735025,0.3046237763412136,0.5926536060057914,4.0071585453488315e-07,7.428644066054107e-07,0.40615109126968196,0.3314336348693028,39,tested
AAGAB,72,-0.08583477700131653,-0.13377130589123115,-0.037898248111401904,0.0006445516330173174,0.0009304728825989563,0.20399522990200258,-0.07057731317310001,0,tested
AAK1,72,-0.3202745753539141,-0.370204277616641,-0.27034487309118727,4.2101694181049715e-20,1.933209600542205e-19,0.2124772345409937,-0.2904371405711522,0,tested
AAMP,72,0.3355689535795656,0.25589525901089344,0.4152426481482378,3.0551292861557363e-12,8.12191630312679e-12,0.3390536197980263,0.3205983087612,0,tested
AAR2,72,0.26928595320972115,0.2337289282635182,0.3048429781559241,7.300104570627907e-24,4.8795435814197067e-23,0.15131390708721018,0.24924924242460356,0,tested
AARS,72,0.1730509951794657,0.10834847828723167,0.23775351207169976,1.0940708199400075e-06,1.9580471880945587e-06,0.2753433574421036,0.1217712649236466,0,tested
AARS2,72,-0.0705864687636013,-0.13923455343075294,-0.001938384096449669,0.04403400759607652,0.05358316533795461,0.2921338306777989,-0.08952521086149931,0,tested
AARSD1,72,0.24080452873272343,0.18874716672782094,0.2928618907376259,9.083901448079714e-14,2.6617635288721894e-13,0.22153154965953498,0.24034113637910198,0,tested
AASDH,22,0.1093146175466234,-0.31916367610607577,0.5377929111993226,0.6012919536213841,0.631768998919609,0.9664012126030266,-0.08431113307425,50,tested
AASDHPPT,72,0.023378184182463797,-0.03329722081209725,0.08005358917702485,0.4135536460316118,0.44788252705474546,0.2411837598463875,0.008959195706552054,0,tested
AASS,72,-1.583641449286786,-1.7248392593242314,-1.4424436392493407,7.2165633552839715e-34,2.4296570517974528e-32,0.6008712017174856,-1.65649463275375,0,tested
AATF,72,0.4096891365641014,0.36286954913345354,0.45650872399474923,2.203188471401713e-27,2.171374256736089e-26,0.19924205450431237,0.438781071867999,0,tested
ABAT,72,-2.137005413365489,-2.3216623464998674,-1.952348480231111,1.0168038738240865e-34,4.2684490653042086e-33,0.7858127069286281,-2.22809680345455,0,tested
ABCA1,64,0.6243689230738003,0.4461015347834502,0.8026363113641504,2.0061557389823256e-09,4.376551539293253e-09,0.7136616987832537,0.588890354224253,8,tested
ABCA12,23,0.2309010684955693,-0.02165895089079567,0.48346108788193426,0.07116805212992232,0.08468086658201028,0.5840450513809624,0.1928559986754021,49,tested
ABCA2,68,-0.09035196433839177,-0.19568180886990705,0.01497788019312353,0.09148938287304313,0.10749654272927062,0.4351545660192366,-0.0836105047280514,4,tested
ABCA3,7,-0.093232431673086,,,,,0.692690413909894,-0.008076652336202972,65,insufficient_pairs
ABCA5,11,-0.04179159799232816,,,,,0.5106038394839065,-0.067929868002405,61,insufficient_pairs
ABCA6,16,-0.12940888857183724,,,,,0.8459435161811286,-0.3300022176092501,56,insufficient_pairs
ABCA8,49,-0.8013334113519938,-0.9873068352847687,-0.6153599874192188,2.2297709211149282e-11,5.5942214682535825e-11,0.647464171497587,-0.787732999300903,23,tested
ABCB1,72,-1.2831020739612844,-1.431986943072704,-1.1342172048498649,5.297664381616497e-27,4.976729095576622e-26,0.6335836950785875,-1.305081689420251,0,tested
ABCB10,72,0.19222047509902718,0.08504861199931728,0.29939233819873706,0.0006322850139370194,0.0009134219646983608,0.4560728396137779,0.19904850141279667,0,tested
ABCB5,8,-0.4426479136744612,,,,,1.1026823732236437,-0.041078834939298536,64,insufficient_pairs
ABCB6,72,0.8407526105308614,0.7089461391922965,0.9725590818694262,5.561823303669414e-20,2.5295454762336913e-19,0.5609060990842661,0.8148250133337467,0,tested
ABCB7,39,0.22207152133305677,0.060559087109660764,0.38358395555645275,0.008334046632671847,0.0109272725909039,0.49824527575817584,0.1969638753560013,33,tested
ABCB8,72,-0.9024192083425662,-1.0245473475277607,-0.7802910691573716,2.76376365122826e-23,1.728730717753936e-22,0.5197196878355768,-0.938442420219602,0,tested
ABCB9,6,0.22874259725341703,,,,,0.4577179451934171,0.21298406928945135,66,insufficient_pairs
ABCC1,72,0.7744483830441848,0.6955556070635696,0.8533411590248001,2.5158167905904803e-30,4.0711596548377885e-29,0.33573039906022,0.7986941812344455,0,tested
ABCC10,47,-0.02617349749916564,-0.21834960812254833,0.16600261312421705,0.7851989740140122,0.804195723385319,0.6545262643475577,-0.0838734679351987,25,tested
ABCC2,72,-0.8053441525964821,-0.9947463125076671,-0.615941992685297,2.1689984999614243e-12,5.8279491028690335e-12,0.80600615125362,-0.8101283402038975,0,tested
ABCC3,72,1.121873080743875,0.9799682775163212,1.2637778839714289,6.899750904730424e-25,5.1013412547649475e-24,0.6038798308713926,1.04824621131225,0,tested
ABCC4,72,0.19167884773432864,0.08050292599887607,0.3028547694697812,0.0009847458028405184,0.0013990306768477657,0.4731122223320222,0.15200462783430002,0,tested
ABCC5,10,0.12402514068022027,,,,,0.53275371845736,0.2342639647952005,62,insufficient_pairs
ABCC6,72,-1.0846067480419919,-1.2429297639599475,-0.9262837321240363,1.4942357413449008e-21,7.660535101131013e-21,0.6737479909138093,-1.154264227586751,0,tested
ABCC9,16,0.3548941929755749,,,,,0.7237071010612204,0.4851915199045001,56,insufficient_pairs
ABCD1,72,0.5660943643196094,0.461357675668746,0.6708310529704727,1.355300641757607e-16,4.823601042481046e-16,0.445709887121228,0.619211156880448,0,tested
ABCD3,72,-0.9994058619149584,-1.1380279630856525,-0.8607837607442643,1.0283832136090509e-22,5.984784676415086e-22,0.5899102011068612,-1.0574344668264999,0,tested
ABCE1,72,0.2335974341695709,0.20115195496712987,0.26604291337201197,1.106016963431111e-22,6.417968880337963e-22,0.13807263776612574,0.23258003101910069,0,tested
ABCF1,72,0.007505959986819817,-0.031959548340669,0.04697146831430864,0.7056497550617084,0.7308691213899209,0.16794656665596167,0.026594425887500495,0,tested
ABCF2,72,0.00048621836512038115,-0.038410554846076146,0.03938299157631691,0.9801849163060058,0.9823389536807667,0.1655262985746447,0.013582205275552404,0,tested
ABCF3,72,-0.06325460046371917,-0.11472039624242197,-0.01178880468501637,0.016724081581240346,0.021301600927330758,0.21901412315598073,-0.07273344981775184,0,tested
ABCG2,30,0.40061143376318425,0.23228494805812835,0.5689379194682401,3.6650675393681035e-05,5.851626769968202e-05,0.45078660775760404,0.21928491859704902,42,tested
ABHD10,72,-1.1638681241847522,-1.2944054836853485,-1.0333307646841559,7.433200376815349e-28,7.850242040061937e-27,0.5555053584141966,-1.2151099732721489,0,tested
ABHD11,72,-0.5833312734028139,-0.6682607049988671,-0.49840184180676056,1.3062449154552954e-21,6.727697760145267e-21,0.361419554671351,-0.5753930446367974,0,tested
ABHD12,72,0.3699857997409709,0.29339423470008474,0.44657736478185706,1.6127600538239473e-14,4.9848495440590456e-14,0.3259375320009238,0.34107075647330043,0,tested
ABHD13,22,-0.1560450707987173,-0.3471482191636218,0.03505807756618723,0.1042580425058644,0.12180029581524655,0.4310190668883524,-0.27348924097994887,50,tested
ABHD14A,12,-0.4387334209170754,,,,,0.6019817022998685,-0.476799973839901,60,insufficient_pairs
ABHD14B,72,-0.7209050615618178,-0.7902048081250251,-0.6516053149986104,7.495239936360158e-32,1.62418449852055e-30,0.2949069959732995,-0.7473734504284495,0,tested
ABHD15,64,-1.5756776067335512,-1.849297705408543,-1.3020575080585592,3.936533859109471e-17,1.4579270656495136e-16,1.0953892706589148,-1.522866971706949,8,tested
ABHD16A,24,-0.09650112911683799,-0.24247692401403487,0.049474665780358903,0.1846719273844526,0.20995053228874933,0.34569878600922505,-0.11330012291859998,48,tested
ABHD17A,46,0.2801579493365333,0.18318982881935242,0.3771260698537142,5.790587061202339e-07,1.0576544690523042e-06,0.3265322896638491,0.25183809599424833,26,tested
ABHD17B,57,-0.03293989488221214,-0.13836954517464845,0.07248975541022418,0.5339349578566221,0.5676542663092935,0.3973443614575587,-0.036546402203602,15,tested
ABHD17C,8,0.016425566030474292,,,,,1.1312099202833743,-0.034786223237001035,64,insufficient_pairs
ABHD18,32,-0.6860490022310083,-0.8201087558139827,-0.5519892486480339,1.1421482296365086e-11,2.915078399374991e-11,0.37183206027971094,-0.6801494004827993,40,tested
ABHD2,11,-0.0865132968255905,,,,,0.5128076174391105,-0.1644766659888042,61,insufficient_pairs
ABHD3,58,-0.13614869304752128,-0.245603541847071,-0.026693844247971554,0.015681506982542306,0.02003215680619391,0.4162784880639838,-0.15041042195205115,14,tested
