gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
A1BG,72,0.4976946603373784,0.35842664235478583,0.636962678319971,6.904722867589754e-10,1.5712458751462324e-09,0.5926589180371878,0.42702236550440853,0,tested
A1CF,72,-0.6839952362924806,-1.0290933482801503,-0.3388971243048109,0.00018087865996938433,0.0002814572601733096,1.4685745990357435,-0.6413207319119849,0,tested
A2M,72,0.549141031765368,0.37311411225950664,0.7251679512712293,3.048027636932846e-08,6.18683235656256e-08,0.7490874442745544,0.7591776132581001,0,tested
A2ML1,72,-0.0350507387688014,-0.054881587091307193,-0.015219890446295615,0.0007476337888630066,0.0011081344216408195,0.08439072574469243,-0.03912320430602165,0,tested
A3GALT2,72,0.013108847637495216,-0.03473191996249422,0.060949615237484656,0.5865311155011642,0.6181968383822758,0.20358771507340784,0.0024317994359630037,0,tested
A4GALT,72,0.07783149450954584,-0.07393650017649532,0.22959948919558698,0.3099883812604083,0.34559269873749204,0.6458529160266032,0.21856999246735498,0,tested
A4GNT,72,-0.1928015911559301,-0.3154105363330162,-0.07019264597884402,0.0024960125265337026,0.0035458855578661456,0.5217657710861895,-0.19587937372477948,0,tested
AAAS,72,0.048717588979272176,-0.009760029998130942,0.1071952079566753,0.10109322334476306,0.12110424254398472,0.2488531314983642,0.020678300804095162,0,tested
AACS,72,-0.5710970580525676,-0.6748009920663314,-0.4673931240388038,5.86919723917633e-17,2.1767658572837514e-16,0.4413149710831625,-0.6438882763477201,0,tested
AADAC,72,0.11479421282481482,-0.059248143427819214,0.28883656907744887,0.19268860907549,0.22193759622131495,0.7406420802385624,0.0,0,tested
AADACL2,72,0.05820802757221663,0.01664344474429074,0.09977261040014251,0.006718741651772654,0.009172664597103463,0.17687923648446444,0.02754744642891475,0,tested
AADACL3,72,-0.0002717590244274611,-0.0011059596338239273,0.000562441584969005,0.5180657231111558,0.5525278885500381,0.003549963859273621,0.0,0,tested
AADACL4,72,-0.20407866537529828,-0.23219255247506493,-0.17596477827553164,7.15071010839775e-23,4.394659105080259e-22,0.1196394272836565,-0.20963804124065,0,tested
AADAT,72,-0.6278130534269448,-0.7382198622740388,-0.5174062445798508,1.3625729423087698e-17,5.3049394959052534e-17,0.46983924107712954,-0.61160970098305,0,tested
AAED1,72,0.9251398967761058,0.8452306147934626,1.0050491787587488,9.921016916356837e-35,2.6796610321665516e-33,0.34005616858050863,0.9417127237123699,0,tested
AAGAB,72,-0.6057276875565213,-0.6767928848580324,-0.5346624902550102,9.96735251610008e-27,9.254355863947413e-26,0.3024199206172173,-0.614933124858545,0,tested
AAK1,72,-0.6643477878169312,-0.7323575219248212,-0.5963380537090411,3.377067873966622e-30,4.7251615616979637e-29,0.28941731214568556,-0.6690623823893251,0,tested
AAMDC,72,0.06892161620408835,-0.014491504809064137,0.15233473721724083,0.10386776113534879,0.12416984018538019,0.3549668528774427,0.08188335171337502,0,tested
AAMP,72,0.012663425815026478,-0.06726931537661439,0.09259616700666735,0.7530108487347066,0.7766177408846584,0.3401559998958676,0.03273685048928021,0,tested
AANAT,72,0.17134550699794845,0.12762422174527988,0.21506679225061703,3.693485788359485e-11,9.130477413631774e-11,0.1860571435451935,0.13897068862978426,0,tested
AAR2,72,0.1140692028260465,0.06993321407592112,0.15820519157617188,2.2062272888406968e-06,3.943913875839602e-06,0.18782192579505438,0.08711105122057994,0,tested
