gene,n_protein,mean_difference_protein,ci_low_protein,ci_high_protein,p_value_protein,q_value_protein,sd_difference_protein,median_difference_protein,missing_pairs_protein,status_protein,n_rna,mean_difference_rna,ci_low_rna,ci_high_rna,p_value_rna,q_value_rna,sd_difference_rna,median_difference_rna,missing_pairs_rna,status_rna,same_direction
A1BG,72,0.31501354301808304,0.16319029661347614,0.4668367894226899,9.524610585529435e-05,0.00014719719347599633,0.6460880412493156,0.29697301381769875,0,tested,72,0.4976946603373784,0.35842664235478583,0.636962678319971,6.904722867589754e-10,1.5712458751462324e-09,0.5926589180371878,0.42702236550440853,0,tested,True
A1CF,72,-0.45314450749943297,-0.6245920130710546,-0.28169700192781133,1.399804339666472e-06,2.481752419133012e-06,0.7295996211057765,-0.5774314951714494,0,tested,72,-0.6839952362924806,-1.0290933482801503,-0.3388971243048109,0.00018087865996938433,0.0002814572601733096,1.4685745990357435,-0.6413207319119849,0,tested,True
A2M,72,0.6110817861752885,0.44092863939619703,0.78123493295438,5.945740705818848e-10,1.3465827652704402e-09,0.7240914413194546,0.6170982559419039,0,tested,72,0.549141031765368,0.37311411225950664,0.7251679512712293,3.048027636932846e-08,6.18683235656256e-08,0.7490874442745544,0.7591776132581001,0,tested,True
AAAS,72,0.17711877448499447,0.14000569510405148,0.21423185386593746,2.6330958825470745e-14,8.002984244045682e-14,0.1579357399463184,0.17879062907415022,0,tested,72,0.048717588979272176,-0.009760029998130942,0.1071952079566753,0.10109322334476306,0.12110424254398472,0.2488531314983642,0.020678300804095162,0,tested,True
AACS,72,-0.25171712288289877,-0.3581272557219037,-0.14530699004389386,1.1646005481268446e-05,1.928761521848239e-05,0.45283127533588297,-0.20220941629925082,0,tested,72,-0.5710970580525676,-0.6748009920663314,-0.4673931240388038,5.86919723917633e-17,2.1767658572837514e-16,0.4413149710831625,-0.6438882763477201,0,tested,True
AADAT,29,-1.7628066744616095,-2.0509784693315183,-1.4746348795917006,5.33225847319848e-13,1.4835981492401651e-12,0.757589922666525,-1.936776985160405,43,tested,72,-0.6278130534269448,-0.7382198622740388,-0.5174062445798508,1.3625729423087698e-17,5.3049394959052534e-17,0.46983924107712954,-0.61160970098305,0,tested,True
AAED1,33,0.4486386911735025,0.3046237763412136,0.5926536060057914,4.0071585453488315e-07,7.428644066054107e-07,0.40615109126968196,0.3314336348693028,39,tested,72,0.9251398967761058,0.8452306147934626,1.0050491787587488,9.921016916356837e-35,2.6796610321665516e-33,0.34005616858050863,0.9417127237123699,0,tested,True
AAGAB,72,-0.08583477700131653,-0.13377130589123115,-0.037898248111401904,0.0006445516330173174,0.0009304728825989563,0.20399522990200258,-0.07057731317310001,0,tested,72,-0.6057276875565213,-0.6767928848580324,-0.5346624902550102,9.96735251610008e-27,9.254355863947413e-26,0.3024199206172173,-0.614933124858545,0,tested,True
AAK1,72,-0.3202745753539141,-0.370204277616641,-0.27034487309118727,4.2101694181049715e-20,1.933209600542205e-19,0.2124772345409937,-0.2904371405711522,0,tested,72,-0.6643477878169312,-0.7323575219248212,-0.5963380537090411,3.377067873966622e-30,4.7251615616979637e-29,0.28941731214568556,-0.6690623823893251,0,tested,True
AAMP,72,0.3355689535795656,0.25589525901089344,0.4152426481482378,3.0551292861557363e-12,8.12191630312679e-12,0.3390536197980263,0.3205983087612,0,tested,72,0.012663425815026478,-0.06726931537661439,0.09259616700666735,0.7530108487347066,0.7766177408846584,0.3401559998958676,0.03273685048928021,0,tested,True
AAR2,72,0.26928595320972115,0.2337289282635182,0.3048429781559241,7.300104570627907e-24,4.8795435814197067e-23,0.15131390708721018,0.24924924242460356,0,tested,72,0.1140692028260465,0.06993321407592112,0.15820519157617188,2.2062272888406968e-06,3.943913875839602e-06,0.18782192579505438,0.08711105122057994,0,tested,True
AARS,72,0.1730509951794657,0.10834847828723167,0.23775351207169976,1.0940708199400075e-06,1.9580471880945587e-06,0.2753433574421036,0.1217712649236466,0,tested,72,-0.3367011147561349,-0.4657901808233278,-0.207612048688942,1.8347623687824935e-06,3.2947404327508847e-06,0.5493421054888297,-0.45012218149762484,0,tested,False
