gene,layer,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
CA9,protein,72,2.344681824998151,2.182553249827455,2.506810400168847,6.208222317013929e-41,1.6766939317833683e-38,0.6899426539953044,2.349052252932104,0,tested
NNMT,protein,72,2.784738522058789,2.59235695630069,2.977120087816888,5.847774959390479e-41,1.6766939317833683e-38,0.8186850955741054,2.7093244497077005,0,tested
VEGFA,protein,1,1.0684955485392982,,,,,,1.0684955485392982,71,insufficient_pairs
MTOR,protein,72,-0.1746701641163541,-0.21194113684388893,-0.1373991913888193,5.435932203266045e-14,1.6188396496102174e-13,0.15860765946748293,-0.21754946813674889,0,tested
NDUFA4L2,protein,72,3.908581756896538,3.68991864398366,4.127244869809417,4.770189623027835e-47,4.785931248783827e-43,0.9305269493372691,3.880302709882801,0,tested
MT1H,protein,72,-3.1789657827277074,-3.505953277493644,-2.8519782879617708,4.49311033689923e-30,6.840572990911984e-29,1.391504364511693,-3.1737470764431985,0,tested
CA9,rna,72,6.45201147094601,6.197618204576267,6.7064047373157525,1.9997690142974036e-57,1.226632509898875e-54,1.0825776096094284,6.625960564992189,0,tested
NNMT,rna,72,4.738401637036335,4.4215798017821815,5.055223472290489,6.836830702155167e-42,5.676957895261157e-40,1.3482441181560616,4.94703014022702,0,tested
VEGFA,rna,72,3.014343994335085,2.784656260796274,3.2440317278738964,3.4097329738881123e-38,1.5327676713589234e-36,0.977442528567762,3.1885039280799945,0,tested
MTOR,rna,72,-0.7781365045651277,-0.8436538922141047,-0.7126191169161508,1.988406173130029e-35,5.907741153448047e-34,0.2788110625766145,-0.8207042734217098,0,tested
NDUFA4L2,rna,72,6.912919098271619,6.664950336299533,7.1608878602437045,2.8550466531575773e-60,3.0160395616550743e-57,1.0552379527348918,7.11506753046366,0,tested
MT1H,rna,72,-5.38684534687709,-5.843026642123321,-4.930664051630859,2.8600127393266805e-35,8.277495013439395e-34,1.9412921702039823,-5.888683197975535,0,tested
