term,before,after
aps1,0.5014963085615837,0.020948951539190727
meanbp1,0.45517754686964745,0.003698296997599929
pafi1,0.43332056975509115,0.014332473141389197
cat1_MOSF w/Sepsis,0.41487807908898766,0.022652959766417336
neuro_Yes,0.353034126209216,0.036778860175194356
cat1_COPD,0.342418169585608,0.06953162226688417
card_Yes,0.29498492751776073,0.008249933338876613
crea1,0.26967360417844227,0.02287357019419767
resp_Yes,0.2695622917156735,0.010214469303248305
hema1,0.26934904613771654,0.01537407902101837
wtkilo1,0.2557259966886236,0.016168759079709313
paco21,0.24863697051448638,0.03581426550919118
seps_Yes,0.23384185117804876,0.024248394122859847
alb1,0.22996554626530477,0.00265560215850817
dnr1_Yes,0.2276391047321663,0.036965701837295646
cat2_MOSF w/Sepsis,0.21769360951170355,0.004432396671817251
cat1_Coma,0.20731269651761913,0.004551813850298109
surv2md1,0.19853462417759984,0.005163030746786349
chrpulhx,0.1923558896798174,0.027000009134917603
adld3p,0.18591131343136677,0.03925236142047761
transhx,0.16981664950490313,0.020589041730769492
resp1,0.16549143868885324,0.02350396662259287
dementhx,0.1631578575611035,0.056509822260862666
hrt1,0.14697206791248332,0.042431652028306885
cat1_Cirrhosis,0.14475893297084025,0.016855881685033637
bili1,0.14464051577436837,0.005304692000765295
psychhx,0.1432313271006222,0.0150333578043457
ninsclas_Private,0.1360088471723888,0.02163178868195545
income_Under $11k,0.12452845201784192,0.0022045131688141354
gastr_Yes,0.12093289625465956,0.009320291785936354
ph1,0.11982203503407893,0.030485082023094048
renal_Yes,0.11627575060525948,0.000937232307502083
cardiohx,0.11563972284954444,0.010386392816974822
cat2_MOSF w/Malignancy,0.11408243403395972,0.036136661849405054
scoma1,0.10985798002507033,0.00481113114240113
income_$25-$50k,0.10681300294021971,0.028320187522156055
ca_No,0.10431252524297033,0.01569720057248737
trauma_Yes,0.10403313667096048,0.014441396528897855
malighx,0.10144191697208403,0.016319595233216726
cat1_CHF,0.09504517644850881,0.005906279968870968
cat1_Lung Cancer,0.09497969054329305,0.042355109545210975
sex_Male,0.09314436797821306,0.03716436209727413
sod1,0.09221507970408346,0.017875013265478412
edu,0.09138550790731571,0.007281462216794791
cat2_Coma,0.08858108214167146,0.014846743768414916
wblc1,0.0835737537103785,0.04528758953757799
immunhx,0.0803674828381818,0.0022145303528498207
ninsclas_Medicare,0.0755636970870484,0.0478712006569532
amihx,0.07429431576109281,0.003778972007112102
ca_Yes,0.07185343804910224,0.018175725316358377
gibledhx,0.07044824799533181,0.014221620673725994
chfhx,0.06950476570236479,0.0045635382720607635
das2d3pc,0.06259471891038283,0.04965578320477469
hema_Yes,0.06172355047436532,0.01879107863599579
age,0.06136353325030001,0.00629844198674461
income_> $50k,0.06047058966618039,0.00878315849023418
ninsclas_Medicare & Medicaid,0.058934242738756346,0.019886545332879976
cat2_Lung Cancer,0.05747623005044269,0.00938243887533696
liverhx,0.04894566552117671,0.0017763624364874112
ninsclas_No insurance,0.042560241727927994,0.001705015322085133
cat1_Colon Cancer,0.03761758423508768,0.01930275356872692
ninsclas_Private & Medicare,0.03462911540784213,0.01729700890175335
renalhx,0.031636889119683397,0.0156283527994338
meta_Yes,0.028093464036651715,0.001094874184112049
pot1,0.027062435639907196,0.019269506570768903
ortho_Yes,0.026992729283681228,0.005503311901675652
temp1,0.021374832429041576,0.02042615725166297
race_other,0.020802392006971298,0.008450412490587698
cat1_MOSF w/Malignancy,0.017531656946022316,0.008458135117811908
race_white,0.015215533689141142,0.0031944970227265395
cat2_Colon Cancer,0.009168536432888178,0.000802555391399968
urin1,0.005728358246225884,0.03776193373102068
