specification,clip,term,abs_smd
original,0.01,cardiohx,0.010806119322848463
original,0.01,chfhx,0.00495616837661194
original,0.01,dementhx,0.05668228724450262
original,0.01,psychhx,0.015203226471808245
original,0.01,chrpulhx,0.027330485489613473
original,0.01,renalhx,0.015418703789177675
original,0.01,liverhx,0.00155439259713425
original,0.01,gibledhx,0.014341384710049416
original,0.01,malighx,0.015875768172316354
original,0.01,immunhx,0.001687144872592418
original,0.01,transhx,0.020262801733165737
original,0.01,amihx,0.003639887030593792
original,0.01,age,0.0068080613155658805
original,0.01,edu,0.0073559102298797995
original,0.01,surv2md1,0.004937884032589411
original,0.01,das2d3pc,0.05091997888925881
original,0.01,aps1,0.01917506050196017
original,0.01,scoma1,0.0041405419199366895
original,0.01,meanbp1,0.002170854240030531
original,0.01,wblc1,0.044909123201679065
original,0.01,hrt1,0.04151366644147681
original,0.01,resp1,0.023273041758582354
original,0.01,temp1,0.020369413716788538
original,0.01,pafi1,0.013361924919319586
original,0.01,alb1,0.003102401447911414
original,0.01,hema1,0.015093986309638704
original,0.01,bili1,0.005546566337517673
original,0.01,crea1,0.022241556610740468
original,0.01,sod1,0.017830638612225582
original,0.01,pot1,0.019273980287544755
original,0.01,paco21,0.03561233598650147
original,0.01,ph1,0.030564164768856657
original,0.01,wtkilo1,0.014139924627945118
original,0.01,adld3p,0.03939271476496026
original,0.01,urin1,0.03843262788516036
original,0.01,cat1_CHF,0.005635017343901974
original,0.01,cat1_COPD,0.0696176503735218
original,0.01,cat1_Cirrhosis,0.01698955644209537
original,0.01,cat1_Colon Cancer,0.019318752607412906
original,0.01,cat1_Coma,0.0015134360320846925
original,0.01,cat1_Lung Cancer,0.0423732701939709
original,0.01,cat1_MOSF w/Malignancy,0.008210001027301543
original,0.01,cat1_MOSF w/Sepsis,0.022184176776053322
original,0.01,cat2_Colon Cancer,0.0007912929124549927
original,0.01,cat2_Coma,0.014951400848526876
original,0.01,cat2_Lung Cancer,0.009422428614027074
original,0.01,cat2_MOSF w/Malignancy,0.035968176387157595
original,0.01,cat2_MOSF w/Sepsis,0.004052761044542486
original,0.01,ca_No,0.015244152861608764
original,0.01,ca_Yes,0.017813459966829166
original,0.01,sex_Male,0.03783132081859866
original,0.01,dnr1_Yes,0.037127939275852326
original,0.01,ninsclas_Medicare,0.0483159493875599
original,0.01,ninsclas_Medicare & Medicaid,0.019685325499186973
original,0.01,ninsclas_No insurance,0.0018935159091966573
original,0.01,ninsclas_Private,0.021070256695754835
original,0.01,ninsclas_Private & Medicare,0.01683931648558127
