variable,n_missing,pct_missing,pct_no_rhc,pct_rhc
cat1,0,0.0,0.0,0.0
cat2,4535,79.07585004359198,80.62517600675866,76.55677655677655
ca,0,0.0,0.0,0.0
sadmdte,0,0.0,0.0,0.0
dschdte,1,0.01743679163034002,0.0,0.045787545787545784
dthdte,2013,35.10026155187445,37.031822021965645,31.959706959706956
lstctdte,0,0.0,0.0,0.0
death,0,0.0,0.0,0.0
cardiohx,0,0.0,0.0,0.0
chfhx,0,0.0,0.0,0.0
dementhx,0,0.0,0.0,0.0
psychhx,0,0.0,0.0,0.0
chrpulhx,0,0.0,0.0,0.0
renalhx,0,0.0,0.0,0.0
liverhx,0,0.0,0.0,0.0
gibledhx,0,0.0,0.0,0.0
malighx,0,0.0,0.0,0.0
immunhx,0,0.0,0.0,0.0
transhx,0,0.0,0.0,0.0
amihx,0,0.0,0.0,0.0
age,0,0.0,0.0,0.0
sex,0,0.0,0.0,0.0
edu,0,0.0,0.0,0.0
surv2md1,0,0.0,0.0,0.0
das2d3pc,0,0.0,0.0,0.0
t3d30,0,0.0,0.0,0.0
dth30,0,0.0,0.0,0.0
aps1,0,0.0,0.0,0.0
scoma1,0,0.0,0.0,0.0
meanbp1,0,0.0,0.0,0.0
wblc1,0,0.0,0.0,0.0
hrt1,0,0.0,0.0,0.0
resp1,0,0.0,0.0,0.0
temp1,0,0.0,0.0,0.0
pafi1,0,0.0,0.0,0.0
alb1,0,0.0,0.0,0.0
hema1,0,0.0,0.0,0.0
bili1,0,0.0,0.0,0.0
crea1,0,0.0,0.0,0.0
sod1,0,0.0,0.0,0.0
pot1,0,0.0,0.0,0.0
paco21,0,0.0,0.0,0.0
ph1,0,0.0,0.0,0.0
swang1,0,0.0,0.0,0.0
wtkilo1,0,0.0,0.0,0.0
dnr1,0,0.0,0.0,0.0
ninsclas,0,0.0,0.0,0.0
resp,0,0.0,0.0,0.0
card,0,0.0,0.0,0.0
neuro,0,0.0,0.0,0.0
gastr,0,0.0,0.0,0.0
renal,0,0.0,0.0,0.0
meta,0,0.0,0.0,0.0
hema,0,0.0,0.0,0.0
seps,0,0.0,0.0,0.0
trauma,0,0.0,0.0,0.0
ortho,0,0.0,0.0,0.0
adld3p,4296,74.90845684394071,70.45902562658407,82.14285714285714
urin1,3028,52.798605056669565,54.82962545761757,49.496336996337
race,0,0.0,0.0,0.0
income,0,0.0,0.0,0.0
ptid,0,0.0,0.0,0.0
