variable,group,level,observed_n,missing_n,summary
cat1,No RHC,ARF,3551,0,1581 (44.5%)
cat1,No RHC,MOSF w/Sepsis,3551,0,527 (14.8%)
cat1,No RHC,COPD,3551,0,399 (11.2%)
cat1,No RHC,Coma,3551,0,341 (9.6%)
cat1,No RHC,CHF,3551,0,247 (7.0%)
cat1,No RHC,MOSF w/Malignancy,3551,0,241 (6.8%)
cat1,No RHC,Cirrhosis,3551,0,175 (4.9%)
cat1,No RHC,Lung Cancer,3551,0,34 (1.0%)
cat1,No RHC,Colon Cancer,3551,0,6 (0.2%)
cat1,RHC,ARF,2184,0,909 (41.6%)
cat1,RHC,MOSF w/Sepsis,2184,0,700 (32.1%)
cat1,RHC,CHF,2184,0,209 (9.6%)
cat1,RHC,MOSF w/Malignancy,2184,0,158 (7.2%)
cat1,RHC,Coma,2184,0,95 (4.3%)
cat1,RHC,COPD,2184,0,58 (2.7%)
cat1,RHC,Cirrhosis,2184,0,49 (2.2%)
cat1,RHC,Lung Cancer,2184,0,5 (0.2%)
cat1,RHC,Colon Cancer,2184,0,1 (0.0%)
cat2,No RHC,MOSF w/Sepsis,688,2863,406 (59.0%)
cat2,No RHC,MOSF w/Malignancy,688,2863,171 (24.9%)
cat2,No RHC,Coma,688,2863,70 (10.2%)
cat2,No RHC,Cirrhosis,688,2863,27 (3.9%)
cat2,No RHC,Lung Cancer,688,2863,13 (1.9%)
cat2,No RHC,Colon Cancer,688,2863,1 (0.1%)
cat2,RHC,MOSF w/Sepsis,512,1672,420 (82.0%)
cat2,RHC,MOSF w/Malignancy,512,1672,58 (11.3%)
cat2,RHC,Coma,512,1672,20 (3.9%)
cat2,RHC,Cirrhosis,512,1672,11 (2.1%)
cat2,RHC,Lung Cancer,512,1672,2 (0.4%)
cat2,RHC,Colon Cancer,512,1672,1 (0.2%)
ca,No RHC,No,3551,0,2652 (74.7%)
ca,No RHC,Yes,3551,0,638 (18.0%)
ca,No RHC,Metastatic,3551,0,261 (7.4%)
ca,RHC,No,2184,0,1727 (79.1%)
ca,RHC,Yes,2184,0,334 (15.3%)
ca,RHC,Metastatic,2184,0,123 (5.6%)
cardiohx,No RHC,"median [Q1, Q3]",3551,0,"0.00 [0.00, 0.00]"
cardiohx,RHC,"median [Q1, Q3]",2184,0,"0.00 [0.00, 0.00]"
chfhx,No RHC,"median [Q1, Q3]",3551,0,"0.00 [0.00, 0.00]"
chfhx,RHC,"median [Q1, Q3]",2184,0,"0.00 [0.00, 0.00]"
dementhx,No RHC,"median [Q1, Q3]",3551,0,"0.00 [0.00, 0.00]"
dementhx,RHC,"median [Q1, Q3]",2184,0,"0.00 [0.00, 0.00]"
psychhx,No RHC,"median [Q1, Q3]",3551,0,"0.00 [0.00, 0.00]"
psychhx,RHC,"median [Q1, Q3]",2184,0,"0.00 [0.00, 0.00]"
