specification,clip,term,abs_smd
original,0.01,cardiohx,0.010806119322849307
original,0.01,chfhx,0.004956168376612237
original,0.01,dementhx,0.056682287244501924
original,0.01,psychhx,0.01520322647180827
original,0.01,chrpulhx,0.02733048548961319
original,0.01,renalhx,0.01541870378917778
original,0.01,liverhx,0.0015543925971343016
original,0.01,gibledhx,0.014341384710049436
original,0.01,malighx,0.01587576817231459
original,0.01,immunhx,0.001687144872592467
original,0.01,transhx,0.020262801733165723
original,0.01,amihx,0.003639887030593502
original,0.01,age,0.006808061315574175
original,0.01,edu,0.007355910229874861
original,0.01,surv2md1,0.0049378840325879384
original,0.01,das2d3pc,0.05091997888927395
original,0.01,aps1,0.019175060501959884
original,0.01,scoma1,0.004140541919936245
original,0.01,meanbp1,0.0021708542400334973
original,0.01,wblc1,0.04490912320168177
original,0.01,hrt1,0.041513666441473654
original,0.01,resp1,0.023273041758583312
original,0.01,temp1,0.020369413716785113
original,0.01,pafi1,0.01336192491932047
original,0.01,alb1,0.0031024014479153054
original,0.01,hema1,0.015093986309645582
original,0.01,bili1,0.005546566337517187
original,0.01,crea1,0.02224155661073619
original,0.01,sod1,0.017830638612219386
original,0.01,pot1,0.019273980287535
original,0.01,paco21,0.03561233598650194
original,0.01,ph1,0.030564164768811596
original,0.01,wtkilo1,0.014139924627945813
original,0.01,adld3p,0.03939271476496093
original,0.01,urin1,0.03843262788516694
original,0.01,cat1_CHF,0.005635017343902111
original,0.01,cat1_COPD,0.06961765037352195
original,0.01,cat1_Cirrhosis,0.01698955644209572
original,0.01,cat1_Colon Cancer,0.01931875260741298
original,0.01,cat1_Coma,0.001513436032084925
original,0.01,cat1_Lung Cancer,0.042373270193971996
original,0.01,cat1_MOSF w/Malignancy,0.008210001027301234
original,0.01,cat1_MOSF w/Sepsis,0.022184176776052552
original,0.01,cat2_Colon Cancer,0.0007912929124549895
original,0.01,cat2_Coma,0.014951400848526837
original,0.01,cat2_Lung Cancer,0.009422428614027017
original,0.01,cat2_MOSF w/Malignancy,0.0359681763871583
original,0.01,cat2_MOSF w/Sepsis,0.004052761044542362
original,0.01,ca_No,0.015244152861606072
original,0.01,ca_Yes,0.017813459966828732
original,0.01,sex_Male,0.0378313208185979
original,0.01,dnr1_Yes,0.03712793927585299
original,0.01,ninsclas_Medicare,0.04831594938756066
original,0.01,ninsclas_Medicare & Medicaid,0.019685325499187157
original,0.01,ninsclas_No insurance,0.0018935159091967822
original,0.01,ninsclas_Private,0.02107025669575499
original,0.01,ninsclas_Private & Medicare,0.01683931648557973
original,0.01,resp_Yes,0.010816974288997985
original,0.01,card_Yes,0.007593748296465923
original,0.01,neuro_Yes,0.03435076578578068
original,0.01,gastr_Yes,0.009708755437440899
original,0.01,renal_Yes,0.0007239085799378944
original,0.01,meta_Yes,0.0009095194350435575
original,0.01,hema_Yes,0.018559368467518735
original,0.01,seps_Yes,0.02382936800813045
original,0.01,trauma_Yes,0.014361929765871147
original,0.01,ortho_Yes,0.005481448252448103
original,0.01,race_other,0.00863162612455795
original,0.01,race_white,0.004720489213743822
original,0.01,income_$25-$50k,0.027952233426260166
original,0.01,income_> $50k,0.008535012257128523
original,0.01,income_Under $11k,0.0014794996447874285
original,0.02,cardiohx,0.01038639281697584
original,0.02,chfhx,0.0045635382720611
original,0.02,dementhx,0.05650982226086191
original,0.02,psychhx,0.015033357804345763
original,0.02,chrpulhx,0.027000009134917468
original,0.02,renalhx,0.015628352799433868
original,0.02,liverhx,0.001776362436487437
original,0.02,gibledhx,0.014221620673726018
original,0.02,malighx,0.016319595233214693
original,0.02,immunhx,0.002214530352849727
original,0.02,transhx,0.02058904173076947
original,0.02,amihx,0.0037789720071118357
original,0.02,age,0.006298441986753818
original,0.02,edu,0.007281462216788333
original,0.02,surv2md1,0.005163030746785453
original,0.02,das2d3pc,0.04965578320479327
original,0.02,aps1,0.02094895153918949
original,0.02,scoma1,0.004811131142400715
original,0.02,meanbp1,0.0036982969976034857
original,0.02,wblc1,0.04528758953758165
original,0.02,hrt1,0.04243165202830338
original,0.02,resp1,0.023503966622595025
original,0.02,temp1,0.020426157251642096
original,0.02,pafi1,0.01433247314139108
original,0.02,alb1,0.0026556021585155587
original,0.02,hema1,0.015374079021026261
original,0.02,bili1,0.0053046920007645305
original,0.02,crea1,0.02287357019419262
original,0.02,sod1,0.017875013265479495
original,0.02,pot1,0.019269506570758058
original,0.02,paco21,0.03581426550919154
original,0.02,ph1,0.030485082023083965
original,0.02,wtkilo1,0.016168759079708567
original,0.02,adld3p,0.03925236142047833
original,0.02,urin1,0.03776193373102566
original,0.02,cat1_CHF,0.005906279968871112
original,0.02,cat1_COPD,0.06953162226688415
original,0.02,cat1_Cirrhosis,0.01685588168503393
original,0.02,cat1_Colon Cancer,0.01930275356872699
original,0.02,cat1_Coma,0.004551813850298186
original,0.02,cat1_Lung Cancer,0.04235510954521206
original,0.02,cat1_MOSF w/Malignancy,0.008458135117811622
original,0.02,cat1_MOSF w/Sepsis,0.02265295976641644
