term,abs_smd_before,abs_smd_after
aps1,0.5014963085615831,0.02094895153918949
meanbp1,0.45517754686964584,0.0036982969976034857
pafi1,0.43332056975509486,0.01433247314139108
cat1_MOSF w/Sepsis,0.41487807908898144,0.02265295976641644
neuro_Yes,0.35303412620921903,0.036778860175194224
cat1_COPD,0.3424181695856117,0.06953162226688415
card_Yes,0.2949849275177609,0.008249933338875208
crea1,0.2696736041784385,0.02287357019419262
resp_Yes,0.269562291715671,0.010214469303249096
hema1,0.2693490461376925,0.015374079021026261
wtkilo1,0.25572599668864904,0.016168759079708567
paco21,0.24863697051448938,0.03581426550919154
seps_Yes,0.23384185117805487,0.024248394122859753
alb1,0.22996554626531598,0.0026556021585155587
dnr1_Yes,0.22763910473216942,0.03696570183729615
cat2_MOSF w/Sepsis,0.21769360951170078,0.004432396671817113
cat1_Coma,0.20731269651761622,0.004551813850298186
surv2md1,0.19853462417760923,0.005163030746785453
chrpulhx,0.1923558896798135,0.027000009134917468
adld3p,0.18591131343136752,0.03925236142047833
transhx,0.16981664950490064,0.02058904173076947
resp1,0.16549143868885305,0.023503966622595025
dementhx,0.16315785756110043,0.05650982226086191
hrt1,0.14697206791248363,0.04243165202830338
cat1_Cirrhosis,0.1447589329708426,0.01685588168503393
bili1,0.1446405157743668,0.0053046920007645305
psychhx,0.1432313271006195,0.015033357804345763
ninsclas_Private,0.1360088471723906,0.0216317886819556
income_Under $11k,0.12452845201784059,0.0022045131688149997
gastr_Yes,0.12093289625465614,0.009320291785937006
ph1,0.11982203503392948,0.030485082023083965
renal_Yes,0.11627575060526128,0.0009372323075020665
cardiohx,0.11563972284954495,0.01038639281697584
cat2_MOSF w/Malignancy,0.11408243403395976,0.03613666184940577
scoma1,0.10985798002507259,0.004811131142400715
income_$25-$50k,0.10681300294022299,0.02832018752215679
ca_No,0.10431252524297178,0.015697200572486584
trauma_Yes,0.104033136670959,0.014441396528897702
malighx,0.10144191697208074,0.016319595233214693
cat1_CHF,0.09504517644851022,0.005906279968871112
cat1_Lung Cancer,0.09497969054329501,0.04235510954521206
sex_Male,0.09314436797821342,0.03716436209727264
sod1,0.09221507970408098,0.017875013265479495
edu,0.09138550790733123,0.007281462216788333
cat2_Coma,0.08858108214167112,0.0148467437684149
wblc1,0.08357375371037903,0.04528758953758165
immunhx,0.0803674828381809,0.002214530352849727
ninsclas_Medicare,0.07556369708704659,0.047871200656954174
amihx,0.07429431576109259,0.0037789720071118357
ca_Yes,0.07185343804910058,0.018175725316357864
gibledhx,0.07044824799533571,0.014221620673726018
chfhx,0.06950476570236362,0.0045635382720611
das2d3pc,0.06259471891037781,0.04965578320479327
hema_Yes,0.06172355047436582,0.018791078635995634
age,0.06136353325029031,0.006298441986753818
income_> $50k,0.0604705896661793,0.00878315849023423
ninsclas_Medicare & Medicaid,0.05893424273875515,0.019886545332880208
cat2_Lung Cancer,0.05747623005044233,0.0093824388753369
liverhx,0.04894566552117977,0.001776362436487437
ninsclas_No insurance,0.04256024172792849,0.001705015322085254
cat1_Colon Cancer,0.03761758423508855,0.01930275356872699
ninsclas_Private & Medicare,0.034629115407841506,0.01729700890175193
renalhx,0.031636889119683154,0.015628352799433868
meta_Yes,0.02809346403665162,0.001094874184111986
pot1,0.02706243563986499,0.019269506570758058
ortho_Yes,0.026992729283682695,0.005503311901675721
temp1,0.02137483242924946,0.020426157251642096
race_other,0.02080239200697101,0.00845041249058756
cat1_MOSF w/Malignancy,0.017531656946021445,0.008458135117811622
race_white,0.015215533689141983,0.0031944970227273045
cat2_Colon Cancer,0.009168536432888211,0.0008025553913999577
urin1,0.0057283582462264344,0.03776193373102566
