column,role,type,missing_n,timing,action,outliers,primary_use
cat1,legacy candidate; causal role unverified,str,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
cat2,legacy candidate; causal role unverified,str,4535,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
ca,legacy candidate; causal role unverified,str,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
sadmdte,excluded: ID/date/outcome/exposure,int64,0,not adjustment covariate,excluded from X,retained; no clinical adjudication,False
dschdte,excluded: ID/date/outcome/exposure,float64,1,not adjustment covariate,excluded from X,retained; no clinical adjudication,False
dthdte,excluded: ID/date/outcome/exposure,float64,2013,not adjustment covariate,excluded from X,retained; no clinical adjudication,False
lstctdte,excluded: ID/date/outcome/exposure,int64,0,not adjustment covariate,excluded from X,retained; no clinical adjudication,False
death,excluded: ID/date/outcome/exposure,str,0,not adjustment covariate,excluded from X,retained; no clinical adjudication,False
cardiohx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
chfhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
dementhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
psychhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
chrpulhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
renalhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
liverhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
gibledhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
malighx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
immunhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
transhx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
amihx,legacy candidate; causal role unverified,int64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
age,legacy candidate; causal role unverified,float64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
sex,legacy candidate; causal role unverified,str,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
edu,legacy candidate; causal role unverified,float64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
surv2md1,legacy candidate; causal role unverified,float64,0,unresolved within day,numeric; median fill if missing,retained; no clinical adjudication,False
